,beverage,gender,direct_correlation,indirect_correlation,same_correlation
0,water,male,-0.001151436548561928,0.010623191550101838,False
1,water,female,0.2654294277345229,0.17811496385614106,True
2,water,boy,0.3799432029483104,-0.04623781311552581,False
3,water,girl,0.24117708643878905,0.11402658045250805,True
4,water,man,0.04036871208490705,-0.027337782413563324,False
5,water,woman,-0.03365775198989606,0.1476729933436591,False
6,coffee,male,-0.5508450003219287,-0.33065969560521863,True
7,coffee,female,-0.5145028693654131,-0.0074236807382085145,True
8,coffee,boy,-0.013204726981886732,-0.2673913685530507,True
9,coffee,girl,-0.2345163121867665,0.02621696709969968,False
10,coffee,man,0.07300056812532843,-0.2832746524296141,False
11,coffee,woman,0.22229490897891996,0.09628024252121194,True
12,tea,male,-0.5004875951617394,-0.3977099875531285,True
13,tea,female,-0.30957545414230103,0.2966125972516146,False
14,tea,boy,0.1459515044167256,-0.4030316393271394,False
15,tea,girl,-0.2181096755704302,0.2466321644863197,False
16,tea,man,-0.17028987151534786,-0.4021001478407615,True
17,tea,woman,-0.15230137178268302,0.3608086135232654,False
18,juice,male,-0.11255803934222483,0.14069708808622194,False
19,juice,female,0.04565601845411995,0.17058357590696402,True
20,juice,boy,0.3520435516306186,0.11154549202239823,True
21,juice,girl,0.1859414043288445,0.1400804637360873,True
22,juice,man,0.013867530184706104,0.09229835481685483,True
23,juice,woman,0.032281172549475365,0.12194920907526682,True
24,milk,male,-0.18281958541243606,-0.3319938779444104,True
25,milk,female,0.07573640536498992,0.25439327174456955,True
26,milk,boy,0.2735065235955593,-0.2800744035008049,False
27,milk,girl,0.16843442746768794,0.2501770774193458,True
28,milk,man,-0.16865399399405578,-0.2797393508410708,True
29,milk,woman,0.03444230278705799,0.3372821389047538,True
30,soda,male,-0.32590397023585205,0.01770084666721782,False
31,soda,female,-0.2636145968644293,-0.03791956376206073,True
32,soda,boy,0.3131672902729485,0.08308653551604461,True
33,soda,girl,0.25367086438232644,0.016855642263317767,True
34,soda,man,-0.3999012098441728,0.017214964998840697,False
35,soda,woman,-0.2730009761755892,-0.030489770438658432,True
36,energy drink,male,0.33762339358552074,0.3052983452254302,True
37,energy drink,female,0.5718013956730303,0.0874618660350791,True
38,energy drink,boy,-0.12055316061305076,0.2509738142818411,False
39,energy drink,girl,0.1839223882538888,0.0576036698798571,True
40,energy drink,man,-0.18702132950366732,0.217573098158456,False
41,energy drink,woman,-0.12926086608240814,-0.019697563575473545,True
42,milkshake,male,-0.5632982132816758,-0.4324532506691571,True
43,milkshake,female,-0.3895499790496868,0.154968769624297,False
44,milkshake,boy,-0.004868672932390165,-0.3222912652045312,True
45,milkshake,girl,-0.1268516928746596,0.2029806941795225,False
46,milkshake,man,-0.4162221656822359,-0.32681755714511146,True
47,milkshake,woman,-0.2979997610510985,0.28752352027257233,False
48,smoothie,male,-0.1436762116756758,-0.07614846377979217,True
49,smoothie,female,-0.16742085259960598,0.04375172555781913,False
50,smoothie,boy,-0.1995386424559371,-0.024052818142419958,True
51,smoothie,girl,-0.09012338639135263,0.0943325122728396,False
52,smoothie,man,-0.18146290264615034,-0.0757050175485913,True
53,smoothie,woman,-0.015747055584798452,0.08567924844045371,False
54,alcohol,male,0.05199328486196125,0.13925616807267344,True
55,alcohol,female,-0.045793261844706085,-0.11870486258345142,True
56,alcohol,boy,-0.052629494259978975,0.1646128121490949,False
57,alcohol,girl,0.19782097875244897,-0.08787354602077131,False
58,alcohol,man,-0.09739943341499856,0.16866833040088866,False
59,alcohol,woman,0.09077836236948876,-0.1373523000375421,False
60,liquor,male,-0.2961539599464325,0.08019858011397589,False
61,liquor,female,-0.12800126505597442,-0.3847856325552283,True
62,liquor,boy,-0.1266598836950698,0.10823019809697268,False
63,liquor,girl,0.1280987562878695,-0.3374849349783952,False
64,liquor,man,0.2220423519682036,0.21831495519204056,True
65,liquor,woman,0.3331019705897777,-0.3321227541466739,False
66,beer,male,-0.4111729357965116,0.16798396416937214,False
67,beer,female,-0.2357434937787451,-0.5267453572748039,True
68,beer,boy,0.15638534049078576,0.22062672176284728,True
