index,age_isomap_x,age_isomap_y,age_tsne_x,age_tsne_y,age_umap_x,age_umap_y
Nigeria,-0.5592172166119079,0.7303729182525641,-37.637287,114.17083999999998,2.6503737000000003,2.5697265
Ethiopia,-0.21309242234542874,1.0865119563211356,10.002699,118.67119,2.7228380000000003,1.7701032
Egypt,-1.0442068838420924,1.137856125454383,-56.63053000000001,113.04133600000002,2.5554137000000003,2.9107711
Congo,-0.1356062952132744,0.5767129777197012,-8.841878,92.36457,2.9521415,2.3862991
Tanzania,-0.1890452327251576,0.7900333883804319,-13.188867000000002,103.55095,2.9599748,2.1313212000000004
South Africa,1.3537860305671408,-0.08593762319835982,185.4094,-0.8339306000000001,12.544792,6.4414935
Kenya,1.6084576112667472,-0.040748701971005344,168.72531,5.892688,12.923793,6.604262400000001
Uganda,-0.25776943665384944,0.9936788807973542,-7.236552199999997,118.71019,3.1790378,1.8676707
Sudan,-0.2964333179861302,0.9056047588292112,-20.839573,116.72439,3.055888,2.2166088
Algeria,-0.5336917575399641,0.15094033426375422,-72.40211500000002,43.72261,3.3893397000000003,4.1681457
China,-0.2465979226992945,0.9303881587054784,12.825554,103.9571,2.6371522,1.7288308
India,-1.0018810995245118,0.218854842199779,-129.13652,43.23168,2.5872211,4.4385900000000005
Indonesia,-0.04805080653767449,-0.3444643394341943,-12.240603,-28.911942,5.8510857000000005,3.894161
Pakistan,-1.38271149124768,-0.6130446745963247,-151.32759,11.280942,0.9873818,5.395233
Bangladesh,-0.8174731831269137,0.14675796384048018,-87.75284,46.56833,2.9860315,4.306529
Japan,-2.362730560683873,-0.3809567781480409,-186.50665,54.510757,1.4322058000000002,6.018511
Philippines,0.38455126562960856,-0.5103309954471007,34.47928,-115.77973,8.006113000000001,4.8501406
Vietnam,2.407905702687956,-0.2347129601917052,165.22484,-79.1213,13.118851,5.096371
Iran,-1.4381584885537524,-0.005160222385339136,-148.21823,31.11727,1.6850731,5.384012
Turkey,-0.5204861733997171,0.12279939609697955,-54.69425,14.323051,4.5491147000000005,3.2806318
Russia,-0.9510524014086196,0.2411148363229035,-119.95633,49.693764,2.79861,4.0453386
Germany,1.6748344897489786,-0.19320024436169864,171.11153000000004,-42.8757,13.15526,5.4190135
United Kingdom,-0.1266959445630038,1.1732961151369514,-15.382672,137.01023999999998,3.083886,1.9606366
France,0.8680073789682897,-0.064033510748945,200.42781,18.384243,12.204231,6.6471214000000005
Italy,-0.7374318768372152,-0.2753942588180172,-71.6719,-14.115,5.062997,3.9338346
Spain,-0.5228793068181898,-0.06989570973401704,-56.96573299999999,-4.8910446,4.8733816,3.7287838
Ukraine,-2.121124958988767,-0.2684233959201076,-186.59988,41.37111,1.4815928,5.9401126
Poland,-0.2289154607994764,0.41622876368675465,-11.22601,71.21143000000002,3.6765134,2.578225
Romania,-1.9738365567080915,-0.22634581296417555,-174.76787,42.222187,1.6203734,5.768224
Netherlands,1.7803347457478718,-0.2755784209646641,167.14917,-61.81521600000001,13.170333,5.213128
