index,sexual_orientation_isomap_x,sexual_orientation_isomap_y,sexual_orientation_tsne_x,sexual_orientation_tsne_y,sexual_orientation_umap_x,sexual_orientation_umap_y
Nigeria,0.3745763108258792,-0.01762083672987002,76.06494,-251.97607,1.4360813,6.2197165
Ethiopia,0.3585622542187917,-0.08419517307538228,70.941536,-222.59651,1.4813538999999998,5.8262157
Egypt,0.4590447192051455,-0.033469743251108755,74.30082,-280.02844,1.3031933999999998,6.1021833
Congo,0.1907623931795099,-0.019359888483450258,25.873444,-236.66974,2.369154,5.774085
Tanzania,0.2613553387939492,-0.09645123771424258,48.719254,-200.48047,1.8611004,5.367801999999998
South Africa,0.07638702128501908,-0.0792301262069536,-7.2921960000000015,-119.229996,2.90329,4.611992
Kenya,0.15868827342245484,-0.17066955514636595,21.870014,-174.21272,2.4194856,5.074918
Uganda,0.3143842034817051,-0.15342699399178222,75.52133,-197.88972,1.6517240000000002,5.633835
Sudan,0.29602520058141896,0.015504221085221426,94.47899,-241.12788,1.9303932,6.1676803
Algeria,0.08446605917870223,0.06601323182369691,207.60167,-78.01514,7.451911999999999,7.4919634
China,-0.12835809297228173,0.09864730605485293,86.08481,-28.566328,8.785369000000001,5.8300285
India,0.25453474093722744,0.2573999256921186,-381.4092,-404.64423,7.2325163,9.226689
Indonesia,0.05379300922863897,0.07748061443114836,211.64874,-106.05391000000002,7.789165,7.297086200000002
Pakistan,0.11577142940606575,0.2608464047379238,-1539.5591,1469.2726,7.6385865000000015,8.422630999999999
Bangladesh,0.14071474578536186,0.1951462961866197,-73.85341,-98.276146,7.488122,8.833446499999997
Japan,-0.11923419949674527,0.3309862258900127,1912.8972,-2253.9895,7.7555679999999985,8.137542999999999
Philippines,-0.15680595362257202,-0.011966505547450169,-169.56422,114.63329,10.597284,3.7803476
Vietnam,-0.4014518881550324,-0.01996374839898906,-136.49516,76.56787,12.795391,5.607302
Iran,0.12902274159561544,0.2262790153685631,-2.5010166000000003,-46.720245,7.5327497,8.788007
Turkey,0.026065228250860373,0.059954264902347565,195.21506,-14.167951,7.1368646999999985,6.4999595
Russia,0.027687969612415358,0.12339665734110895,225.8633,-6.372201,7.343097,6.4565654000000015
Germany,-0.0036688221143101572,-0.16434996241690694,-46.916977,-33.51207,7.739148599999999,1.683468
United Kingdom,0.11505676697587408,-0.040692062711592265,1.6298708,-137.03857,2.7777524,4.771184
France,0.0009345667460991324,-0.15109130100542728,-77.00405,-32.452824,7.732608,2.0058498
Italy,0.07209585417967669,0.04750693964307022,193.71793,-97.1772,7.814789,7.2152023
Spain,0.07578381646648483,0.01568748361502116,200.4784,-41.75421,7.417584,6.760445599999999
Ukraine,0.2059069630815988,0.18758487777418714,250.26877,382.72546,7.2795353,9.18782
Poland,0.2725075187032973,-0.06424365766145719,31.15285,-213.94595,2.014426,5.6119657
Romania,0.2564249892633583,0.0682150503037002,162.64088,-218.23259,2.2836487,6.100836
Netherlands,-0.06213148630699013,-0.21546083257535628,-53.37752,-4.572984,8.063097,1.9103036
Austria,0.023353571671147332,-0.11214543235281466,-88.3969,-50.05938,7.510844,1.8845065
United States,-0.27493127719208066,0.04616213510336753,-213.7059,53.25561999999999,10.635669,4.544839
Mexico,-0.12422034616698227,0.09314349471764337,68.125656,-8.802872,9.144231,5.6145034
Canada,-0.40467073891769056,-0.0353242008333437,-140.68408,205.50693,13.022429,5.523529
Guatemala,-0.19750302392123856,-0.035291354349915954,-186.56824,70.47359,10.7033825,4.2746267
Haiti,-0.1290953460146357,-0.11479531982919412,-75.89105,139.90417,10.383148,2.1768892
