,occupation,gender,direct_correlation,indirect_correlation,same_correlation
0,accountant,male,-0.003551741868994488,-0.21512311025737985,True
1,accountant,female,-0.2670977666555039,-0.4752968927362661,True
2,accountant,boy,1.5041428119833682,-0.2714272553798936,False
3,accountant,girl,0.7896434624414029,-0.495532091421433,False
4,accountant,man,3.5981816595593084,-0.13528188063084587,False
5,accountant,woman,1.965173282353003,-0.4081048916770144,False
6,air traffic controller,male,0.12512922151977948,-0.13141827920662996,False
7,air traffic controller,female,0.6219819341893009,-0.4239126293682818,False
8,air traffic controller,boy,-0.7654561896280859,-0.18436001210048206,True
9,air traffic controller,girl,-0.6694079858642985,-0.4443563226100306,True
10,air traffic controller,man,2.4223812403279217,-0.051062565959155495,False
11,air traffic controller,woman,2.1671269498344707,-0.3717338178348343,False
12,architect,male,0.3688374482312491,-0.21018074645717089,False
13,architect,female,0.9045465324374756,-0.4022975205200006,False
14,architect,boy,-0.394050296420632,-0.3327649756071768,True
15,architect,girl,-1.0535717649934802,-0.4828585968204959,True
16,architect,man,1.578391225093157,-0.22792186694569325,False
17,architect,woman,2.1345188473611563,-0.39313519989968265,False
18,artist,male,0.7449870761163865,-0.12952260867058804,False
19,artist,female,1.3407986979604092,-0.12617593100197247,False
20,artist,boy,-0.032896147491743924,-0.1626354613860527,True
21,artist,girl,-0.2067494236689872,-0.15826512686974026,True
22,artist,man,1.1867632039067038,-0.1635906948130339,False
23,artist,woman,1.8099626232063104,-0.14202834177326026,False
24,attorney,male,1.2848697076643492,-0.19605145251286965,False
25,attorney,female,1.2904633637605505,-0.5028243595390367,False
26,attorney,boy,0.09049090641420676,-0.24717046716548854,False
27,attorney,girl,0.34530386719741624,-0.5162082994206162,False
28,attorney,man,2.491149413725722,-0.13099091033718033,False
29,attorney,woman,2.802369944055,-0.437759406199484,False
30,baker,male,0.8186670797049587,-0.2552681164232359,False
31,baker,female,1.0348748333198514,-0.1205496570952241,False
32,baker,boy,0.7417361360175311,-0.2350656891701691,False
33,baker,girl,0.531722532064811,-0.13216448263057293,False
34,baker,man,2.7218769173926285,-0.17472675334686805,False
35,baker,woman,2.4708277355359813,-0.055378979473057685,False
36,banker,male,0.9622879837708296,-0.11295909219696325,False
37,banker,female,0.4492943840387776,-0.557975852305237,False
38,banker,boy,1.2010501989707487,-0.20245814153389305,False
39,banker,girl,0.7843615878233574,-0.60081662533661,False
40,banker,man,3.8423482456400095,-0.034534766947384665,False
41,banker,woman,2.0492002449279503,-0.5254188417500384,False
42,bartender,male,1.063179835358012,0.09886592592086367,True
43,bartender,female,1.4152283486923798,-0.3585755720765,False
44,bartender,boy,2.4434015175825983,0.12335902364090927,True
45,bartender,girl,2.138417389190391,-0.30099896584855906,False
46,bartender,man,3.3912561486041675,0.16385490280326925,True
47,bartender,woman,3.114616479528612,-0.3324152895320828,False
48,barber,male,1.429973089792902,-0.20456159506207,False
49,barber,female,1.5642311946572802,-0.3288142771822152,False
50,barber,boy,2.0620564787901,-0.14219315039643066,False
51,barber,girl,1.8596612508050292,-0.2773036225811293,False
52,barber,man,3.7880786575063787,-0.0530396137005402,False
53,barber,woman,3.0570883259066033,-0.2212080885428632,False
54,barman,male,0.17130467899212426,0.029790725555543587,True
55,barman,female,-0.5257385049264516,-0.6106566677368559,True
56,barman,boy,1.1686065331257809,0.032320861702901355,True
57,barman,girl,0.1031415118994562,-0.5762617838781999,False
58,barman,man,3.1812726442740145,0.17604130788247035,True
59,barman,woman,1.8180654609341165,-0.5543961241520781,False
60,barmaid,male,1.9664332521485988,-0.4802274850782569,False
61,barmaid,female,3.9223184866717338,0.1597422584437101,True
62,barmaid,boy,0.4931854146173502,-0.4125060863409288,False
63,barmaid,girl,3.0884288810559943,0.18627257190210605,True
64,barmaid,man,2.292161362415465,-0.4102121104195467,False
65,barmaid,woman,4.164217728468358,0.29195974650131473,True
66,bookkeeper,male,1.1797162320347194,-0.2389300696083579,False
67,bookkeeper,female,1.0271021869769204,-0.21234984473437032,False
68,bookkeeper,boy,2.0546295631777443,-0.237076405933224,False
69,bookkeeper,girl,1.338356128238311,-0.22865009457497354,False
70,bookkeeper,man,3.6070860569728063,-0.13525489327701554,False
71,bookkeeper,woman,2.89044191216936,-0.13518932256365712,False
72,broadcaster,male,-0.9419771941978096,-0.29356741564112604,True
73,broadcaster,female,-0.4878370410905361,-0.2451293430580712,True
74,broadcaster,boy,-0.9618434748982372,-0.26774212533251274,True
75,broadcaster,girl,-1.0237144156210818,-0.2327645002955173,True
76,broadcaster,man,0.07292874020859177,-0.2048057716997267,False
77,broadcaster,woman,0.8675118683748592,-0.1605342730189817,False
78,builder,male,1.428976569339244,0.02308831982719528,True
79,builder,female,1.242486964613587,-0.5807200501257971,False
80,builder,boy,1.3272413666140124,-0.01596609069635155,False
81,builder,girl,0.11968030080059787,-0.591045277854958,False
82,builder,man,3.350952014492002,0.13416514727402068,True
83,builder,woman,2.068317731400352,-0.5632729417951053,False
84,businessperson,male,0.7705651374859771,-0.2721545112560201,False
85,businessperson,female,1.8322932440867572,-0.29139654389584496,False
86,businessperson,boy,-0.1600859689280648,-0.32513695324924885,True
87,businessperson,girl,1.442403637213216,-0.3202129611686828,False
88,businessperson,man,2.643558398285613,-0.218131586408534,False
89,businessperson,woman,3.821969345171805,-0.21754611549269165,False
90,businessman,male,0.022161949237295725,0.0741428691286736,True
91,businessman,female,-0.8944431463162114,-0.6495626233519951,True
92,businessman,boy,-0.16775081367784633,-0.03558421844643979,True
93,businessman,girl,-1.2119141234049402,-0.6920316587113255,True
94,businessman,man,2.049664801823809,0.13728264872683305,True
95,businessman,woman,0.6976319894888486,-0.6530762821607872,False
96,businesswoman,male,-0.15166366045574645,-0.5793202500731642,True
97,businesswoman,female,1.8077197731132764,0.2909646065015227,True
98,businesswoman,boy,0.17243655357695614,-0.5502079510788849,False
99,businesswoman,girl,2.5185031245550884,0.2848165543037454,True
100,businesswoman,man,2.1641879555121086,-0.5774639522941621,False
101,businesswoman,woman,4.684643448274084,0.4174092333463192,True
102,butcher,male,0.7404409780217373,-0.09959885882389036,False
103,butcher,female,-0.09341524084316888,-0.376758075886557,True
104,butcher,boy,1.158417641520741,-0.11696043099485127,False
105,butcher,girl,0.08864403495140097,-0.393761608815075,False
106,butcher,man,3.4045167002816146,0.01954850671664642,True
107,butcher,woman,1.6555661329056937,-0.3224727971452482,False
108,captain,male,0.8643565546581429,0.1293736943464079,True
109,captain,female,1.0560885197250272,-0.4392338527722188,False
110,captain,boy,1.9565394399251077,0.08735044022130549,True
111,captain,girl,1.1158162017779694,-0.4494241714360448,False
112,captain,man,3.2802544271523337,0.2166689450207427,True
113,captain,woman,2.1482464182326844,-0.44017517240247184,False
114,carpenter,male,1.3112408409710123,-0.003864388933590964,False
115,carpenter,female,0.994753600308359,-0.6199828581556539,False
116,carpenter,boy,1.3808734763918769,-0.03894564255791076,False
117,carpenter,girl,0.1854789340998526,-0.6297359789712066,False
118,carpenter,man,3.438630339569096,0.10164244961701373,True
119,carpenter,woman,1.8514138323283795,-0.5934387328675256,False
120,cashier,male,0.8649830146060946,-0.4320714555984898,False
121,cashier,female,1.4600768699361728,-0.11427741152260736,False
122,cashier,boy,1.2389097195660126,-0.3714221051215114,False
123,cashier,girl,1.6328350344433606,-0.0761703369473704,False
