index,religion_isomap_x,religion_isomap_y,religion_tsne_x,religion_tsne_y,religion_umap_x,religion_umap_y
accountant,-0.29757749404138684,0.10142163822298547,127.51908999999999,-35.328747,-1.3613186000000002,10.593342
air traffic controller,-0.19809307808954865,0.19816127835423825,218.2212,32.563828,-3.4733384,1.9152695
architect,-0.13245271776056186,0.2731631943455997,49.392296,60.95775,-3.087024,7.051846
artist,0.12866464059839455,0.3116584227395256,-8.612925,142.46407,-1.7703183,6.0152015999999975
attorney,-0.3778740522770143,-0.03622067996901508,128.23868000000002,-83.925674,-1.1980766999999999,9.606031
baker,-0.05626037748343882,-0.1302201860844044,8.849845,-71.484,0.09646487,8.963622
banker,-0.1917873467915375,0.15630294403556758,69.13192,22.790982999999997,-1.7055813000000002,8.935694
bartender,-0.0839919989002127,-0.15460885636609564,188.38016000000002,97.56837,-2.2109296,2.2267412999999996
barber,-0.24005051420272824,-0.2814748283557175,69.84168000000001,-161.0976,1.2235011999999998,10.719675
barman,-0.2926162825365182,0.04014840186721006,108.779526,-26.859534999999997,-1.3754788999999998,10.415185000000001
barmaid,0.3144066038008023,-0.08874212911124932,-182.4225,38.564223999999996,1.9342495,4.795129
bookkeeper,-0.10781069545111233,-0.17400158729813295,6.5366454,-83.601715,0.3219546,9.226248
broadcaster,-0.10126162920608307,0.08541647571547697,86.17629000000002,87.17719,-2.7923438999999997,7.6145554
builder,-0.2208347009851105,0.08340791134700552,115.42312,-42.536021999999996,-1.2476637,10.49099
businessperson,-0.03453640673272305,0.20377146461548928,69.62089,131.95906000000002,-2.5839665000000003,7.2425190000000015
businessman,-0.14853321047673926,0.32702299206334856,266.4789,7.0655656,-3.9340053,1.7775118000000003
businesswoman,0.3945831654215966,-0.10517203544394617,-212.2478,40.4479,2.8457974999999998,4.8041215
butcher,-0.14856124332427953,-0.02586930239505604,23.452082,-43.059948,-0.7477931999999999,8.717698
captain,-0.172146718708368,0.0935611948322442,228.56757000000002,89.52614,-2.5469465000000002,2.4460106
carpenter,-0.33410746605142944,-0.0020192170397280024,118.21812,-64.29411,-1.0588946000000001,9.972918
cashier,-0.020459124101465026,-0.20400114209072776,-4.482804,-157.1342,1.7726952,9.227458
chef,0.061283979375993475,0.21882378008110948,-28.965176,48.601659999999995,-1.4782215,4.8767233
coach,-0.1310192761327395,0.18165912160680708,243.99022000000002,78.13826,-2.7643912,2.5534234000000002
cook,0.40235618636317216,-0.05401129365341152,-145.69293000000005,96.60882,3.054985,4.8286595000000005
computer programmer,-0.03459613984244992,0.14295642341248516,84.26825,124.62762,-2.5357876,7.483531
dancer,0.5828896905757558,0.18558050270828533,-87.16628,167.02739,-0.9208765,5.433351
dental hygienist,-0.09177535520895874,-0.21038770483049013,29.4693,-144.1962,1.2516695,9.862157
dentist,-0.28548186436866263,-0.22651485477936384,84.0892,-120.478935,0.79723907,10.266886999999999
designer,0.22307415914729206,0.28719763143342825,-121.44566,-185.05783,-1.2117959999999999,5.1757050000000016
developer,-0.16891722593831993,0.268963161793016,256.90744,16.448154000000002,-4.117127,1.7537265
dietician,0.08014200350829143,-0.18603492911986544,-57.969623999999996,-104.18835,1.1973156999999999,8.226436999999999
doctor,0.053258200305894836,0.07440531311267372,-31.619821999999996,22.470602,-1.5737261999999999,4.1668725
economist,-0.14115662167963522,0.1892594770774022,58.49856,52.96228000000001,-3.1713683999999995,7.677281
editor,-0.13274928225357932,0.0903730815707237,79.20123000000002,73.25958,-2.9135096000000003,7.7657933
electrician,-0.16642179446371774,-0.24858175965736864,59.23753000000001,-188.26219,1.5981117,10.725458
engineer,-0.18053753577409729,0.22888884847674845,231.36385,15.952232999999998,-3.9026245999999998,1.5503794
farmer,-0.2817406842891864,-0.23931490221184304,73.95405,-126.28537,0.83649015,10.322169
filmmaker,-0.005437747874510101,0.3597804853256232,29.212881,152.19353999999996,-2.6154057999999996,6.545028
financier,-0.10096108506184663,0.06413200586964908,41.019123,-16.92756,-1.1338847,8.63525
fireman,-0.35971622998930525,-0.14816502707003995,144.47238000000004,-129.25589,0.22532229,10.714091999999999
fisherman,-0.10080775854176798,0.1555326640612631,77.74983,95.31254,-2.9374409,7.443689
flight attendant,0.1113063120788758,-0.04687860924511555,-156.31094,-35.32850999999999,1.0267116,5.0341010000000015
gardener,0.02656297029199918,-0.0756295129088879,-62.64581999999999,-43.826614,0.579434,8.09034
guidance counselor,0.09215529804489664,-0.31628528819652874,785.51013,-2863.009,2.2334793,9.189172
hairdresser,0.2818485622004215,-0.20383682516982526,-201.56325,64.70406,2.2657613999999997,5.524684400000001
homemaker,0.044973150596842836,-0.28324518975432145,-50.673504,-118.46123999999999,1.3460458999999998,8.561155
housekeeper,0.26281722560721626,-0.2343692150784571,-186.22496,63.732333999999994,2.1420524,5.4417767999999995
interior designer,-0.09693453324295842,0.21329613808202488,244.91467000000003,-1.2911099,-4.0016623,1.5760367
jeweler,0.0652636629165355,-0.06575529521411493,-99.84090400000001,-47.01047,0.92703867,7.6333
journalist,0.1063602941280675,0.34725992240507203,5.370181,152.65605,-2.2085272999999996,6.112478
judge,-0.18573643833446388,0.02477291100925413,54.914303000000004,-19.152079,-1.2581383999999998,9.145856
lawyer,-0.31862721935355026,0.09310222563960906,75.39617,10.958864,-1.5241017,9.268474000000001
librarian,0.045480888494844884,-0.19138854233455074,-47.70831,-96.1427,1.1335273000000001,8.211559
maestro,0.3978014642319103,0.15881819343884102,-78.78996,184.96315,-0.98722446,5.3628983
magician,0.4231137677488612,-0.16046628715553451,-219.50997999999998,28.444502000000004,2.5258540000000003,4.829878
mason,-0.32270323859607697,-0.3183767597091812,91.108376,-144.55481,0.93245786,10.686753
mechanic,-0.19903966905263806,-0.03758968011463994,197.08925,108.08507,-2.175406,2.1302178
musician,0.10907434960934792,0.3442911130053169,7.6755047,137.41942,-2.026154,6.2819033
nanny,0.3743440830765225,-0.27835638174609223,-231.64691000000002,0.5733614,2.2930954,5.2808547
nurse,0.3308199605012565,-0.17373192629613746,-196.10262,33.334293,2.4298743999999997,4.9250126
nutritionist,0.016202317624437516,-0.09132168169482446,-68.01137,-89.94528000000004,0.08305435,8.092791
optician,-0.010358264086896123,-0.2215898845938084,1.331833,-140.79369,1.5275991000000002,9.203608000000001
painter,0.06490831852045845,0.181497132144816,-19.689804000000002,108.77811399999999,-1.9153913,5.865089
pharmacist,-0.06501981055466886,-0.03861150486899189,-33.40392,-59.779125,-0.047270797,8.340322
philosopher,0.2249780780469829,-0.0909916176948154,-86.92973,110.496315,-0.2524305,6.3166975999999995
photographer,-0.16704739316591585,0.24218121486258365,230.86911,3.021081,-3.9255104,1.5240306000000001
physiscian,0.32491282493356155,-0.11324652675428888,-173.37798,12.343636,2.008396,4.671524
physician's assistant,-0.045472181557356765,-0.16183366839027152,-999.8992,1582.6493,2.1942677,9.280456
pilot,-0.1955331991526155,0.03285447288071923,205.99296999999999,98.60727,-2.3273032000000002,2.3417542
plumber,-0.3732102764947583,-0.15730168962161986,134.12976,-125.01846,0.45536098,10.6795435
police officer,-0.19240300442736585,0.24013241383373304,244.79552,65.68339,-3.0627754,2.2597249
policeman,-0.21257304570690155,0.04547596920832996,99.25901999999999,-35.459274,-1.0290666,10.400136
politician,0.032577943740248624,0.3640573116773929,21.066263,163.099,-2.487791,6.377275
postman,-0.17874938782520858,-0.25317458937712684,52.931652,-133.93346,0.93919796,10.155559
professor,-0.0487351617510294,0.03055288528640216,12.073097,-28.371452,-0.55293477,8.405521
programmer,-0.16707157260348074,0.17718098103447685,214.47926,20.257814,-3.7461941,1.9978528000000002
psychologist,-0.04132207422867407,-0.1007313678703496,-50.70568,-58.099064,0.65596414,8.348889999999999
receptionist,-0.07496407265366202,-0.20339127161784265,9.467031500000001,-154.42728,1.5660793,9.54831
salesperson,0.1523087812725272,-0.20937980704197406,-211.37836000000001,75.56166,2.2639842,5.960523
scientist,0.2273817709076479,-0.0016300132452418134,-146.59422,-7.970206299999999,1.2482984,4.7267556
scholar,0.2706796500111998,0.08568385838039794,-79.76174,120.09252,-0.50553375,6.1394215
secretary,0.0342300835897419,-0.1469022273308506,-60.575798,-69.65965,0.8335058000000001,7.9827119999999985
server,0.3153236751959597,0.0022080035659460713,-149.09586000000004,4.9663105000000005,1.4662925,4.6374884000000005
singer,0.36166081830068797,0.3301154464029553,-66.76919000000001,162.83441000000005,-1.1906011,5.737069
skipper,-0.1679921015024263,-0.28401302229528186,45.693825,-198.64725,1.7698156999999999,10.425935
soldier,-0.0018379007003187075,0.17395368597602925,254.78069,89.5352,-2.4312642,2.9076657000000004
socialite,0.3007436914063535,-0.15313420780265855,-191.13503,20.330523,2.1290407000000005,5.029789
stylist,0.2009792206504951,-0.09771235927116932,-146.04045,-26.585672,1.1488013000000001,5.1060360000000005
surgeon,-0.231378881904215,-0.05261597320353687,80.138824,-33.05579,-0.9261517,10.299085
teacher,0.2697038954998286,-0.045108455156750604,-141.89553999999995,85.404465,2.983682,4.9160056
therapist,0.061650656642401436,-0.2687694477059866,-20.484793,-173.19089,2.1168416000000003,9.26901
translator,0.33522140642478593,0.2798475704574348,-57.44854,152.32378,-1.2438913999999999,5.869102
undertaker,-0.16979475380946096,-0.2332926667027681,49.07727,-147.1309,1.1690180000000001,10.148181
veterinarian,-0.1807095577646747,-0.2713997517671202,66.21427,-177.9388,1.4942311000000001,10.709010000000001
videographer,-0.02295297855353424,0.2497069034887408,57.23775,135.76631,-2.6163359,6.970051
waiter,-0.008572119100431375,0.14248247922675908,-28.799463,35.810345,-1.5659975,4.382758
waitress,0.4082908431540871,-0.1959785935587486,-216.05248999999998,9.022393,2.2669002999999996,4.9198947
warrior,0.4051317993368657,-0.03558816853142308,-184.01398,-30.854698,1.4362261,5.0834480000000015
writer,0.0995461007792522,0.247909197822552,-17.014708,119.993675,-1.9827092,5.994287
