index,trait_isomap_x,trait_isomap_y,trait_tsne_x,trait_tsne_y,trait_umap_x,trait_umap_y
accountant,-1.4117326106669086,-1.5517662529148262,56.39862,154.3149,-0.55155236,3.9610188
air traffic controller,-2.5424011797110095,-1.2121768247672662,85.92443,148.7791,-0.5540214,4.3006177
architect,-1.2825479318823352,-2.0838386670915026,191.00343,37.367653,-0.028958905,3.4291677
artist,-0.2547283560301675,0.4269527752131198,94.3091,-175.64635,0.45038497,1.7334486
attorney,-2.573386067358363,-0.5132694206983924,45.616585,189.5955,-0.9990275,3.9408457
baker,1.8921667297837572,-2.9324725949350396,68.88613,-84.65844,2.8373747,6.2904067
banker,-3.340029315819846,-1.6297981517033187,59.338467,260.15424,-1.3941535,4.978306
bartender,-2.0444299679122833,4.693367554687439,-136.84099,82.106674,3.279251,0.9051813
barber,1.119647627301862,-0.716350871394516,20.815535,81.33589,3.470077,3.7620795
barman,-3.973192656325976,-0.29519814557110857,138.89568,182.98329,-1.8261406,4.4462147
barmaid,5.843404091106912,-0.5407867551319464,-82.858826,-203.21799,6.1812434,8.438972
bookkeeper,1.02646348713534,-3.3508159048062907,107.7434,-70.547424,2.1204243,5.625235
broadcaster,1.2951293150585081,-2.2106488037622896,76.68743,-47.067688,2.8092213,5.7514
builder,-4.50475952358878,-0.425625679296557,143.71742,226.3479,-2.5318296,4.723685
businessperson,0.7991378593807065,-1.415941085740938,22.045132,33.528633,2.905262,4.205301
businessman,-5.149263524099618,-0.7213213435648621,-328.9898,-108.332954,-2.443367,4.79677
businesswoman,5.796054347732974,0.25011029175026395,-64.22761,-275.08554,6.8654723,8.553649
butcher,-1.5414931712408937,-3.298008712997591,150.43692,-36.213223,1.4817941,5.4657326
captain,-5.391046014004301,1.0457470648903475,-93.92078,-19.850672,1.9926096,0.95871
carpenter,-4.485128019555829,-1.0420744557253814,132.11392,208.01744,-2.0636334,4.755097
cashier,3.2356541045339284,0.28881028956077204,-138.54251,-138.682,5.465304,7.0887017
chef,0.5815221389220602,0.8344364980142218,-55.56112,86.78425,3.8754406,2.8200197
coach,-4.350160666042492,2.884221391647206,-147.38048,184.75797,2.7280993,0.24951395
cook,5.044758251435815,-0.34024108398796765,-66.448715,-199.65527,5.9576693,8.340573
computer programmer,-1.7546013919855032,1.150037004361072,79.76939,206.85228,-1.1833515,3.8313162
dancer,3.821343660851469,2.204171134034941,-13.192961,-130.75641,4.197254,6.326556
dental hygienist,0.6137728583052143,-1.2460623009760659,40.319588,24.288576,2.6962452,4.494207
dentist,0.07257366356066122,-1.4469379982248944,29.073057,14.771922,2.875456,4.3180423
designer,2.225455712565865,3.9600575663733557,-195.59117,51.468708,4.3840785,1.3681303
developer,-3.8909794096616803,2.8573508572849113,-154.86089,169.09589,2.899147,0.12916234
dietician,2.610120224282159,1.0403975386876392,-151.31117,-94.19176,5.1779556,6.6957707
doctor,-0.5084336281032149,-0.6187517720076383,103.07314,43.55454,1.302219,3.6099467
economist,-1.9244010779489487,-2.370596432536594,202.06207,45.920452,-0.07759417,3.385969
editor,0.7142238900200609,-0.5213879977498436,2.350002,45.968468,3.2176979,3.6464086
electrician,-2.79118976488937,-0.206460811723744,99.105354,190.23366,-1.4663966,4.1184974
engineer,-4.643533131535954,0.27011028001208315,-730.9598,-337.19928,-2.6049786,4.6641703
farmer,-3.091616304929419,-2.3589241105502787,186.4881,125.797714,-1.228894,4.944421
filmmaker,-0.36087030678942955,0.9259154062147791,120.313576,-163.2393,0.16790405,1.911092
financier,-1.5532088253319438,-2.5453848861728448,201.72755,20.480692,0.0616948,3.3295517
fireman,-4.1067277751628515,0.891142099000119,3402.7954,531.1112,-1.8882833,3.9450452
fisherman,-3.0277236740698137,-2.7146664861233325,195.25194,115.45274,-1.2811567,5.05498
flight attendant,2.0945356102634007,4.029562197320449,-190.67143,33.428818,4.3160224,1.2780118
gardener,2.358571689432956,-2.824099501762407,67.54273,-100.703926,3.1114924,6.6389475
guidance counselor,1.9429003446879112,5.072493776576212,-168.68922,40.026794,4.1049714,1.0686902
hairdresser,5.285916748085373,0.5829929220186312,-53.277706,-265.5114,6.7889595,8.4342785
homemaker,3.956365976194347,0.9408585957755615,-167.87386,-135.44614,5.4086833,6.9460907
housekeeper,6.144330037853732,-0.10913790638531548,-1135.3347,-863.41547,6.425426,8.604197
interior designer,0.8005596759048145,2.3655933026131835,-90.177055,81.4002,3.9369743,2.4234114
jeweler,0.5440328628893202,-2.271357409338309,91.92528,5.02263,1.5876297,3.6808748
journalist,2.072487419276779,-2.624918699203359,40.628098,-97.24154,3.2289271,6.483452
judge,-1.8297578965173216,-0.7811165238845015,90.58098,134.04732,-0.17521141,4.2832613
lawyer,-2.3963886179357696,-1.258613989234445,54.36186,168.78906,-0.87915295,4.0605125
librarian,4.554795389074522,-0.6555567951437615,-112.54691,-182.067,5.77941,7.808221
maestro,-0.562220184593206,-1.0412903128493605,45.295753,-176.3801,0.93607,2.1160514
magician,-1.5858494091184445,0.27279174701114856,-39.182346,-53.175457,1.2061273,1.5248289
mason,-3.5189649431823797,-1.0645461719852698,117.79556,194.17912,-1.5798315,4.6984944
mechanic,-3.871048004818841,3.0769311733042652,-147.01152,151.60066,2.809859,0.2839933
musician,-0.7702583853700558,0.17769274201900512,108.32776,-172.57506,0.30415606,1.8077056
nanny,6.508555236409633,0.6859963260506805,-57.465458,-295.52356,6.8804665,8.438627
nurse,6.025390722726572,-0.48644453503834484,1157.7352,70.64101,6.281312,8.452782
