index,occupation_isomap_x,occupation_isomap_y,occupation_tsne_x,occupation_tsne_y,occupation_umap_x,occupation_umap_y
football,-2.3352332671935,0.6892005778513174,138.4023,124.276474,12.094774000000001,15.942645
basketball,-0.8551217535420378,0.9246702512674052,47.56152,-14.404794,10.861631,15.580722
cricket,0.7529842965412357,-0.3493431219707787,13.399729999999998,-145.14738,8.68083,13.145496
hockey,-0.6469664641945037,0.1735956723239311,61.179469999999995,-40.507202,10.768497,15.140751999999999
tennis,3.3400113884852316,0.5189517862441171,-244.31332,-204.21649,-1.6471424,0.6882136999999999
volleyball,3.070456209231193,-0.8989945527892284,-248.47858,-180.21954,-1.8171034,0.5186531
table tennis,3.109252807501843,0.6840820156184979,-220.49702000000002,-194.08386000000002,-2.062797,0.27273357
martial arts,-1.7567507686842638,0.3898067432263035,127.13577,1.5505743,10.414991,16.924776
baseball,-1.2594326197913128,0.5994753692594399,45.852352,13.168687,11.389387,15.7725935
american football,-2.3561690512446063,-0.34071382219149443,152.47185,0.4493032,10.8590145,17.159010000000002
rugby,-2.0246658914938505,-0.012809954769425516,94.67485,81.80065,11.835944,16.607388
golf,-0.5785933135737573,-0.5292685362863518,44.486057,-88.655594,10.152669,14.648183
athletics,1.3551615322471804,-0.11826242423959188,-9.175668,-186.78868,8.041122999999999,13.320443
badminton,1.256043152281696,-0.6573797889039724,-25.764383,-159.93777,8.350708000000001,12.813531
boxing,-2.447954735565504,-0.8080800675399169,87.06967,132.96786,12.555709,16.889332
Formula One,-2.2397860172206356,-0.5727546101304003,95.11686999999999,111.213646,12.291588,16.544135999999998
MotoGP,-2.0553752759764956,0.1804867632443971,129.12749,23.073298,10.600951,17.252567000000003
cycling,0.7828780236320143,-0.5987938526302651,-8.031460000000001,-141.10381999999998,8.568913,12.700273
swimming,2.912827600087558,-0.809830144181553,-226.39711,-219.04547000000002,-1.8715183999999998,0.4645242
snooker,0.08780295546041485,-0.4223720879863517,28.217829,-114.11733999999998,9.086395,13.322512
shooting,-1.5110985982132714,-0.8304135972782752,74.34235,81.81154000000001,11.973792999999999,17.083838
gymnastics,3.7207546470303567,0.6863414283511469,-264.56754,-217.78915,-2.1987095,0.13639474
handball,1.6654924201447383,-0.5945015832002846,-49.153244,-159.8721,7.8090587,12.63792
wrestling,-2.1049013211369108,0.5878217280854237,131.33925,105.39088999999998,12.398937,16.08461
skiing,0.938452847124094,-0.4708692904902261,-67.096214,-175.21953,7.8179946,12.885355
horse racing,-1.4113529178433757,-0.5196403977818528,63.854763,56.53771999999999,11.5314455,16.9626
horling,1.5212159209816825,0.6714898886634113,-17.287018,-209.86064,7.912289599999999,13.768439
pickleball,0.6627875929150576,1.122255094877982,-43.769405,-222.33097999999998,8.158119000000001,14.022216
water polo,-1.1633107646776455,0.18540477954802492,86.58995,-26.728848,10.523033,16.141323
bowling,-0.429408633312624,1.1204457338085712,37.55529,-37.302578000000004,10.520598,15.388398
