index,occupation_isomap_x,occupation_isomap_y,occupation_tsne_x,occupation_tsne_y,occupation_umap_x,occupation_umap_y
water,-0.2981213725125391,-0.8787794826710461,55.56055,-125.66443999999998,6.216678599999999,1.7475811999999997
coffee,-1.146139305099085,0.6635029156355374,142.26393000000002,128.07484,5.6121682999999996,3.0793293
tea,-2.3158874002098235,0.8557765397457752,248.842,258.68222000000003,4.277707599999999,3.9504507000000006
juice,-1.5419346292316762,-0.635677269938975,402.32132,72.4751,4.5425377000000005,2.4642513
milk,-2.470540249159816,-0.4284332020219269,354.8214,202.7458,4.4626327,3.1612107999999997
soda,-0.17979471282219214,-1.1475700034700642,-17.270023000000002,-221.61095,6.5099454,1.3185989
energy drink,1.0518464133157095,-1.0358535547865488,-145.77121,-181.34947,7.1082478,1.632082
milkshake,-1.959592249332666,-0.7542874932467778,296.10776,107.34918,4.0391383,3.1423826
smoothie,-2.1651509409206606,-1.0396448304473722,521.0431,91.21976,4.091120200000001,2.5802836
alcohol,2.07233577646685,-1.331702431961414,-244.7095,-196.80183,8.882100999999999,3.0669633999999997
liquor,4.571892145956307,-0.1902098332718383,-509.67294000000004,-321.68023999999997,9.702865,3.839805
beer,3.73226245654948,0.3775334370432205,-511.18225,-216.51575,9.365283999999999,4.1403403
wine,-1.3186390386551212,1.482820859369694,97.33543399999999,355.801,5.322021,3.7839882000000005
cider,0.058759946876888736,1.0431729434735284,-43.905117,93.320465,6.749403,2.8391092
vodka,0.201549520162608,1.0960217614328134,-119.41951,194.87685,7.0614057,3.1920252000000002
rum,1.237823859302404,0.6987635429794585,-152.82317,63.696690000000004,7.7482050000000005,3.0446436
whiskey,2.832682359813645,0.6771356400567325,-412.33905,-208.69995,9.017646000000001,3.6702027000000004
champagne,-2.3633525805003126,0.5474304620792027,211.90825,360.2314,4.7577324,3.7266673999999997
