index,beverage_isomap_x,beverage_isomap_y,beverage_tsne_x,beverage_tsne_y,beverage_umap_x,beverage_umap_y
accountant,-0.09366774773831305,-0.27534404274715996,-134.75325,-12.01836,2.7343178,9.244221
air traffic controller,-1.3815956123281534,0.4948540783282861,-30.853539,123.296684,-3.0826159,5.200545
architect,-0.44325465507764034,-0.21346994115732426,-80.9689,-5.5617456,0.05057943,6.604227
artist,0.6699416941941699,0.6565051021390661,9.918931,-78.90942,10.781994,3.1207228
attorney,-1.1644547827033147,0.019036515018423652,-47.91404,115.448204,-2.8307757,5.631244
baker,1.6464020662152943,-0.2058737418163575,72.024734,-112.89952,13.395746,3.8840225
banker,-0.7022197640308232,-0.4538152403013687,-78.38068,24.052174,-0.29831302,7.42551
bartender,-0.5896048721187693,1.1024011021477513,19.85901,36.873466,-3.779222,-3.0447176
barber,-0.756060369515901,-0.44860623085377627,-72.0577,34.61189,-0.49208665,7.604191
barman,-1.536881147471244,-0.15643912960119255,-29.444546,146.98032,-3.8505745,5.293336
barmaid,2.3567586314557447,0.05544043870240751,108.03629,-157.5943,13.522828,1.463123
bookkeeper,1.415170412030257,-0.3114966448781206,63.40256,-110.27806,13.223683,4.1047344
broadcaster,0.06096510788693367,-0.36290004032300177,-129.86815,-17.636568,2.7701178,9.220732
builder,-1.0669378006278585,-0.33991067531988806,-56.092533,91.76893,-2.11213,6.4158554
businessperson,-0.1005077238909109,-0.29055238209632106,-133.25853,-4.911975,2.852283,9.145185
businessman,-1.6379978522450669,-0.1910875876631861,-63.04523,170.94534,-4.0978036,6.444395
businesswoman,2.4538524758091915,0.10846712512365768,114.65133,-160.64474,13.482567,1.3948705
butcher,-1.3885555145765092,-0.5677101978705996,-63.18294,75.70812,-2.181269,6.813843
captain,-1.9740513590071367,0.10185532391229457,-1.7221563,157.72417,-4.67672,5.3414683
carpenter,-1.1266689677438066,-0.35429111796195345,-52.25215,86.19928,-2.253718,6.503989
cashier,1.195746935199331,-0.06387246809118778,64.87591,-96.98842,12.902813,4.062019
chef,0.39823137768496336,0.6124416369419123,14.511822,-73.64646,10.77904,3.4122856
coach,-1.4641092509803815,1.056930812929928,13.97124,126.27467,-5.3371696,4.6899776
cook,1.9673298192579052,-0.20374931053541143,103.72349,-137.32466,13.931216,2.0092115
computer programmer,-0.40685169740802374,0.8046844643331127,23.853157,26.191383,-3.6327422,-3.3847706
dancer,1.6091524765861644,0.7493940794913535,103.56863,-74.650764,12.106073,2.9483452
dental hygienist,0.09996846138641771,-0.23526183268116405,-125.29303,-10.93431,2.76275,9.349861
dentist,-0.9059023482328343,-0.0781827403773422,-51.384727,98.33008,-2.3853884,6.1241517
designer,1.0268429842639966,0.7082973066443636,3.0938506,-89.60794,10.903622,2.8125339
developer,-1.3760811273630646,1.0926217760005446,21.035187,124.95276,-5.183303,4.6279697
dietician,1.1664627917301886,-0.08920397792049897,67.89688,-83.24944,12.475923,4.2151093
doctor,-0.27424516308623764,-0.533634795125722,-112.42153,-19.291122,0.9665408,8.086815
economist,-0.38887092236312704,-0.10397234249791655,-75.08673,-3.005261,0.07593286,6.662312
editor,0.5005240040879075,0.05221148476565091,37.707462,-79.29407,11.145013,3.8476183
electrician,-0.5706796188222838,-0.11010704149555468,-48.86476,5.5856366,0.5854705,6.440593
engineer,-1.2821126493182278,-0.08870743861173791,-51.074165,164.49176,-3.8157148,6.2944474
farmer,-1.0763157108778392,-0.617387018217471,-66.22358,64.929855,-1.6290301,7.0631156
filmmaker,-0.8928733669874155,0.7945463073726646,23.696245,45.952427,-3.8496025,-2.9441402
financier,-1.5169370099220325,-0.28335959246987086,-55.114124,172.38036,-3.9935346,6.542997
fireman,-2.0965612950396135,0.2540935642060422,-9.446797,143.17503,-4.254037,5.020223
fisherman,-1.4737949247506241,-0.34268740170266426,-38.37924,168.59567,-4.055076,5.933697
flight attendant,1.244864401877648,0.7543640176771118,-123.877304,43.948097,11.61486,3.002194
gardener,-0.8320843675235187,-0.4125670654079476,-71.78784,40.822037,-0.63649154,7.42889
guidance counselor,-0.11088224304574647,0.9255680455780235,15.484745,19.796492,-3.4874551,-3.652262
hairdresser,1.3836849161442053,-0.11907677873955558,76.143265,-79.59195,12.509786,3.9861608
homemaker,1.4052385782973453,-0.06752635710151106,78.54758,-104.952995,13.355347,3.5944667
housekeeper,2.001795299465046,-0.1977995984190396,96.27068,-139.01468,13.92198,1.9422832
interior designer,1.0804767315556352,0.612150469747769,-3.9864357,-86.08121,10.989824,2.9164426
jeweler,0.2188912050849118,-0.7750304916138812,-125.20038,-37.92638,2.3139715,8.98225
journalist,1.4724127077721334,-0.1565695137341162,84.24144,-74.615814,12.339696,3.538977
judge,-0.5427097115378384,-0.35797601069025364,-71.06998,14.365586,-0.013217935,7.2160745
lawyer,-0.5935786988351885,-0.19731024816156184,-56.140575,6.8479295,0.47081292,6.537285
librarian,1.5589355623984167,0.046263287222661924,89.470055,-105.723694,13.18746,3.2181063
maestro,0.1854998542017807,-0.8812516187655696,-11.198379,-38.604206,11.787107,5.6368947
magician,-0.5951323881076741,-0.7892393737421143,-80.26338,-38.479393,1.1096665,7.652047
mason,-0.8541181776180036,-0.5946240529007533,-67.66015,59.05676,-0.9997153,7.369574
mechanic,-1.7034653564997129,0.2794310326782313,-21.643333,137.85411,-4.0284815,4.967818
musician,-1.5607250206601255,1.129092157914431,18.445856,132.97934,-5.0858674,5.02286
nanny,2.194044865826159,0.6254488931325003,107.40609,-165.14732,13.426569,1.4213703
nurse,1.7728423881086368,0.547285455060205,101.21358,-93.725,12.8631525,2.959451
nutritionist,1.1265375371671595,-0.04744723278249809,61.271294,-84.64839,12.309923,4.039345
optician,-0.053937388461414555,-0.4894875593212404,-121.872955,-19.616209,2.52639,9.083693
painter,1.038463964724116,-0.7577539165287471,52.955257,-42.352684,12.34534,4.997402
pharmacist,0.06302249274718578,-0.5878281554191322,-126.548164,-30.355225,2.4051933,9.350746
philosopher,-0.275518607771061,-0.7113034863452015,-70.39968,-35.616943,1.0485888,7.7572722
photographer,-0.22511897233585487,0.503741531636253,30.838541,21.357594,-3.5702233,-3.4795706
physiscian,0.8158527805387353,-0.8540674657272458,48.68242,-37.992725,12.147172,5.232122
physician's assistant,1.5957991648906356,0.09990087919110476,94.60838,-101.7934,13.193509,3.1595566
pilot,-1.7066054461721325,0.7031102463950305,9.775931,132.34785,-5.0197787,4.779114
plumber,-1.1825889310788704,0.09058382480810619,-40.88733,112.48593,-2.680394,5.503206
police officer,-1.5185076188892404,0.2720903658468919,-25.52046,132.263,-3.6806479,5.0743594
policeman,-1.1597954357856075,-0.3926763124584066,-60.190727,85.22716,-2.3792422,6.5656066
politician,-0.590599891061797,-0.16673211563375032,-73.96705,5.3034606,0.020559013,6.755113
postman,-1.5130703077204788,-0.3032763450942678,-33.46049,151.51512,-3.7061474,5.603258
professor,-0.5595556071632091,-0.30068554743066167,-64.95566,9.528719,0.36785635,6.8354263
programmer,-1.0255854374561955,1.0106244315868922,18.617031,49.721188,-3.8954055,-2.8707528
psychologist,0.8266852202271048,-0.008097602265496887,45.56526,-80.82369,11.844774,4.0799127
receptionist,1.2944395154230892,-0.05994986977396878,69.99936,-91.74697,12.726462,3.879227
salesperson,1.6478807969993523,-0.12724996564072713,93.81526,-120.7476,13.50202,2.9685493
scientist,-0.5989724584899316,-0.6121756990936023,-74.92867,-41.75647,1.228909,7.5288014
scholar,0.5633014317104942,-1.0396389528547134,-4.814599,-38.03701,12.019609,5.389681
secretary,1.8249705856345502,-0.07553828626272856,99.02234,-127.543686,13.733472,2.2878926
server,-0.09244812809794997,1.151847602129487,17.143549,10.100163,-3.3376844,-3.6412609
singer,1.7842646197018726,0.057081022703653825,98.65283,-79.54203,12.338219,3.0566926
skipper,-1.2284764645412625,0.05766460042465752,-35.583042,117.25918,-2.8513398,5.4286666
soldier,-1.9479369875531658,-0.14880050899657613,-0.50584346,163.24762,-4.621618,5.502476
socialite,1.9326562045521,-0.19549735208410585,111.050064,-121.10025,13.265463,2.4538853
stylist,0.8635221778842032,0.7543136841943522,1.3710351,-81.20586,11.0001,2.9862115
surgeon,-1.4390476494687885,-0.19525371208705863,-46.950794,168.90092,-4.014785,6.2833495
teacher,2.0174567956686844,-0.17138343828364147,101.54641,-144.21341,13.789442,1.8125391
therapist,0.45798660928405865,0.7790761583504864,21.98093,-76.73053,10.801124,3.3776102
translator,1.1570448780165163,-0.8061630802605585,57.978798,-36.53707,12.226657,5.0869203
undertaker,-0.5637746535318993,-0.5631477032820884,-67.16909,28.58109,-0.3795619,7.709303
veterinarian,-0.3075253320819945,-0.007800379646971524,-41.73485,2.7927191,0.65878236,6.380759
videographer,-0.33154075525790877,0.8076135162695776,22.530886,19.247814,-3.3666518,-3.6620803
waiter,-0.9386171256348036,-0.03794592644063498,-58.36208,127.81283,-3.375214,6.166293
waitress,1.4610040260502322,0.6624642689916828,114.89198,-88.649666,12.584647,3.0789092
warrior,-1.0044367828676857,-0.2830308762251608,-77.615234,-50.663143,1.2962298,7.4500957
writer,1.1872246497357306,-0.11997107806428986,66.87473,-72.91184,12.328762,4.379563
