index,sport_isomap_x,sport_isomap_y,sport_tsne_x,sport_tsne_y,sport_umap_x,sport_umap_y
accountant,0.0710379834628695,0.1518535390544822,55.39738,92.260704,7.334111,10.672969
air traffic controller,1.656459310736303,0.2046381278759519,94.48213,-96.719345,9.958202,9.514526
architect,-0.02590636872462632,0.18486201888330409,32.386475,106.596115,6.8086643,10.814017
artist,0.39889318832979703,-0.6771414403159844,137.6952,128.01277,9.690492,3.5340366
attorney,0.5041496500310448,0.5536445294477366,106.27917,7.656403,8.498368,11.38163
baker,-1.5464907855302619,-0.271366528732894,-132.9811,24.733438,2.9244416,2.6668649
banker,-0.44424182280489966,0.6001150059249628,-10.43135,71.92135,5.769135,11.602729
bartender,2.130008252759002,-0.5287282780726695,74.06662,-138.18736,10.279351,8.4613495
barber,-0.5097324700862024,0.6382784927689316,-18.420889,68.15406,5.7017527,11.547777
barman,1.3213354099133696,0.3747794135265545,89.023445,-52.384388,9.59205,11.248888
barmaid,-1.6676826733614174,-0.9166601741488866,-136.12631,64.936226,2.4347851,2.2446399
bookkeeper,-1.3850682653405535,0.04924992158171959,-123.00246,22.87998,2.86648,2.9619887
broadcaster,0.16165075179129404,0.014974897778754426,60.933567,100.85973,7.20319,10.522234
builder,0.4308750522523429,0.7581082152899997,48.7224,17.790424,8.771213,13.222105
businessperson,-0.18768334851855079,0.20565787309212752,16.506203,92.78988,6.365498,11.193083
businessman,0.9904413181506914,0.771387383587427,76.64594,-28.006954,9.374268,12.089191
businesswoman,-1.8198783985256237,-0.8305126595950528,-132.79736,73.21499,2.2944493,2.3062577
butcher,-0.48046155491935005,0.9983936649472562,-25.705948,58.570507,5.4841537,11.813539
captain,0.9995243428079976,1.201953044155991,81.77067,-18.23477,9.336684,12.373788
carpenter,0.26503195521915174,0.8723393329505921,39.373123,18.167955,8.74542,13.759625
cashier,-0.6647602770792199,-0.6354578534674681,-221.84384,7.4409857,5.136842,2.644434
chef,1.1202076579957503,-1.1371307393571664,72.27999,-175.6276,10.140852,6.72176
coach,2.4568901419381945,0.03141555763165858,108.868706,-143.79129,10.388003,8.836415
cook,-1.3239550848147525,-0.7996072128784308,-149.83557,13.736623,3.3914,2.4719973
computer programmer,1.8813700038087413,-0.32717636991787247,41.18398,-155.39159,10.25716,7.227155
dancer,-0.013733263352486693,-1.2086062632173513,-500.1988,-3.7645864,9.2798605,3.3031862
