index,age_isomap_x,age_isomap_y,age_tsne_x,age_tsne_y,age_umap_x,age_umap_y
Nigeria,-1.0202799624791559,-0.5182780931835386,-131.38086,-124.90808,1.1393298,1.8756791
Ethiopia,0.5397518217377428,-0.06857568988533591,54.611015,92.95594,9.733919,3.5419345
Egypt,0.539322527993548,-0.6033597742010228,35.11213,115.50426000000002,9.625632,3.1157806
Congo,-0.8610950751608608,-0.023489508693537223,-103.46587,-102.20583,2.7402773,2.5689495
Tanzania,-1.3821825969837958,-0.3949393941204554,-188.9362,-144.05452,-0.5783444999999999,0.32519072
South Africa,-1.4902872175603101,-0.4035718504698313,-201.57068,-137.69308,-0.5367128999999999,0.365261
Kenya,-0.7836326904578464,-0.3746635619669941,-97.900604,-119.14274,2.5854878,2.7802007
Uganda,-0.6651855111657061,-0.3398991226909253,-91.57664,-109.70387,3.1200542,2.7692661
Sudan,-0.429745470702608,-0.44916364567768735,-64.546875,-107.729645,4.558973,3.191571
Algeria,0.05194999786150984,-0.1491245179671325,69.31193499999999,-35.22082,6.7197514000000025,4.005162
China,0.5689331769480678,0.046825282187856206,116.59763,101.389175,9.812662,4.836434
India,0.8090570153545148,-0.2525638455174948,42.989338,129.2165,9.990942,2.947728
Indonesia,-0.35096852422763064,0.5532418782054986,-77.466484,29.555973,13.254777,9.770557
Pakistan,1.2136789090482818,-0.4013287734779619,46.36436,146.6,10.25013,2.5785232
Bangladesh,-0.1038077426386806,-0.4096755624736412,65.961365,-50.78956,6.1569133,3.771872
Japan,0.8973792701841901,-0.06913980977041186,115.23442,120.56998,10.62218,1.0851266000000002
Philippines,-0.1128291615480754,0.6227095283208826,-64.503586,23.699368,13.223375,9.794991
Vietnam,-0.02594024201653036,0.6646054304081163,-49.054142,23.035753,12.901668,9.902133
Iran,1.4755617276039994,-0.4475803136503523,51.45996,157.4847,10.509211,2.324321
Turkey,1.0569987819921869,-0.07739646489491203,94.44664,166.09239,11.224127,1.7465389999999998
Russia,0.2049287503939606,-0.1012900087179092,72.85189,-24.29256,7.2462,4.1994099999999985
Germany,0.0990392309243051,0.09227928067574337,39.363003000000006,3.7422726,7.6333537,4.9193664
United Kingdom,-1.4725195994000315,-0.3473144654089642,-192.60918,-128.54953,-0.28686184,0.6119624
France,-0.3244232243159971,0.10741388351367268,-10.568097,-107.7632,4.294756,2.9247491
Italy,0.9920534835268866,-0.07890485718972128,111.5601,163.71216,11.177208,1.4138848999999998
Spain,0.9516849900409141,-0.07367473618545105,102.02519,153.57363999999995,11.329637,1.4505943
Ukraine,1.5519892078290811,-0.225428944455862,63.08721,169.40115,10.796013,2.0978537
Poland,0.9516075114836192,-0.1007012876458732,115.43699,151.32144,11.247336,1.3500221
Romania,1.3972918558484404,-0.11509348080597105,79.885574,175.45337,11.125052,1.8611037
Netherlands,-0.5753162997260856,0.1958068460419756,-19.04725,-114.325584,3.9568524,2.8153043
Austria,0.5103681423597468,0.06661727707693058,119.97252,65.16525,9.3195715,4.8634
United States,-1.5437438890435369,0.011048691705630763,-203.92603,-123.12472,-0.28297943,0.6108305
Mexico,0.7473643475601773,-0.04007714708878039,105.699486,136.61723,10.848461,1.2573271
Canada,-1.1790782527220478,0.09338642130253534,-157.01697,-88.33615999999998,2.1665683,1.8532776
Guatemala,0.3933099763795327,-0.04964309144065145,76.59295,68.231155,9.305943,4.3413224
Haiti,-1.1560687126264233,-0.05314734095291721,-151.72525,-104.553856,1.6377728,1.8992287
Cuba,-0.3693226330972387,-0.1843133551161296,-0.08442206,-87.412094,4.8355904,3.0335007000000003
Dominican Republic,-0.044098298794520666,-0.09798993952953386,15.271107999999998,-58.04329300000001,5.3567004,3.315771
Honduras,0.42807280557133015,0.14382341449500993,99.9995,59.15858000000001,9.031376,5.0395010000000005
Nicaragua,0.5088479503851203,0.02190985287327773,104.49819,70.043396,9.508819,4.867797
El Salvador,0.14416328021350736,-0.021450255134606026,63.832523,10.094637,7.885956299999997,4.5595737000000005
Brazil,-0.10334085358907497,-0.1774803175479976,23.27621,-69.260796,5.3388157,3.1892931
Argentina,0.13590751257312814,-0.08630483124472653,71.09336,0.98876166,7.698150999999997,4.3248477
Peru,0.3058401924516609,-0.023523919274200392,75.60018000000002,40.603447,8.753246,4.361478
Venezuela,-0.09263555140755897,-0.2570102012449866,29.643702,-81.604805,5.3768725,3.3715758
Chile,0.31971063947551304,0.054692900751089575,63.587082,40.11998,8.611899000000001,4.726907
Ecuador,0.2669875886840704,0.2221618037740621,44.999783,32.30875,8.56302,5.2231054000000015
Bolivia,0.6400001392165219,-0.15228641018875375,69.628654,101.71361,9.958895,3.323825
Paraguay,-0.12049722125492167,-0.18361135210732624,13.656412,-75.13188000000002,5.1963053,3.0923038
Uruguay,0.3951683101142374,-0.05618220420500848,67.634865,75.0693,9.33169,3.931078
Australia,-0.9331222058242141,0.11390038007945474,-147.48143000000005,-74.74325,2.4118528,2.1051838
Papua New Guinea,-1.2701132114752218,0.12101597937593768,-130.66391000000002,-84.846756,1.9726247,1.9238642
New Zealand,-1.1640866383075343,0.07927021318107458,-144.90125,-91.92804,1.8520713,1.6705856
Fiji,-0.15546049190890016,0.7424845982261253,-55.77826,35.184321999999995,13.186888,10.019123
Solomon Islands,-1.0386780042028882,-0.189252288973674,-140.39745,-109.61751,1.6268665,2.137232
Vanuatu,-0.061898173331343835,0.9526815877682304,-44.16023,5.4205236,13.080509,10.425561
Samoa,0.07016880864418833,0.7018599859074294,-31.362453,43.32671,12.853191,9.252989
Kiribati,0.18972921169709656,0.5162915605633182,-17.417297,32.78685,12.560393,9.188306
Micronesia,0.25695434426491703,0.8235519303483846,-36.735973,-6.4663987,12.935624,10.393167
Tonga,-0.031810011206708136,0.6478575973964338,-42.115143,33.727505,13.019966,9.551105499999998
Colombia,0.2483459588134562,0.001994038921611744,72.44388000000002,26.834877,8.318455,4.3645253
