index,religion_isomap_x,religion_isomap_y,religion_tsne_x,religion_tsne_y,religion_umap_x,religion_umap_y
Nigeria,0.04519978744459551,0.270888692050119,22.82791700000001,-228.78523,10.431548,13.174121
Ethiopia,-0.2252362172641232,0.32981935673719154,145.42354,-118.1297,11.508877,10.709385
Egypt,-0.35782153245481235,0.501356487157002,170.81572,-107.271866,11.500892,10.570345
Congo,0.019092561398116832,0.2229793834946902,56.48175,-210.70674,10.617702,12.561755
Tanzania,0.05846242973965876,0.2620223501648193,28.263279,-251.84903,10.224207,13.221748000000002
South Africa,-0.00830363151107931,0.26613929298968897,73.84434,-223.96103,10.543885,12.6586075
Kenya,0.004306033632257678,0.3381926432368476,5.783785,-258.9126,10.117176,13.39784
Uganda,0.0039407692013637965,0.2320904160085732,40.50074,-236.59674,10.14448,12.909953
Sudan,-0.04067430377287855,0.3901994145306235,150.14389,-140.6976,11.126961,10.868891
Algeria,-0.3521296296178404,0.2358359719283816,144.38605,-87.97757,11.815952,10.78944
China,0.35754646777235866,-0.15473146478530328,-79.10144,11.041177,6.0562944000000005,7.9375405
India,-0.035906017976603026,-0.39125292559140995,-6.868909,54.96350500000001,4.5312843,8.411364
Indonesia,0.32777958174526,-0.17435147413708835,-76.37028000000002,-13.754677,6.326788,7.9709477
Pakistan,-0.2338817195940301,-0.2822485758322384,-459.4255,123.71345,3.9902115,8.729297
Bangladesh,-0.16133431102773976,-0.3686644047461013,4.533285,67.882965,3.9713168,8.493029
Japan,0.2665986025277079,-0.4444649886463192,-72.4777,29.074629,5.813692,7.9725012999999985
Philippines,0.3108663571520696,0.03135801418490917,-82.611275,-94.29326,7.3255234,8.497263
Vietnam,0.44996178692896,-0.16284904414996512,-98.98076,-21.881208,6.483206299999999,8.041052
Iran,-0.22501916723655752,-0.15409502633766473,153.26497,-191.47357,4.111048,8.715810000000001
Turkey,0.03185958456098174,-0.060770732672892576,78.502495,-144.53069,4.2830405,8.970184
Russia,0.02089452049508564,0.1794584737283789,61.222416,-126.24779,11.691559,11.976295
Germany,0.16653465407780285,0.21140553434296028,25.026752,-145.74976,11.61497,12.6511
United Kingdom,0.5747145343099713,0.007389326327653103,-189.10059,-70.090866,7.794917599999999,7.1230544999999985
France,-0.10821951067086764,0.1769939806227581,73.07233000000002,-184.57828,10.89923,12.053267
Italy,-0.2538225273360393,-0.11649708680220405,78.5262,177.00311000000005,0.15893629999999995,8.853503
Spain,-0.1620688118562909,0.01904673996596595,0.5333766,349.8546,-1.8922951,11.025727
Ukraine,-0.1080096178056472,0.29759579255501617,117.47966,-98.09273,11.773517,11.142297
Poland,-0.160595271272103,0.2782026577353274,124.77397,-113.04864,11.551895,11.20915
Romania,-0.061946353804184284,0.20206186129685846,81.44884499999998,-107.14532,11.487354,11.735038
Netherlands,0.13067994290078436,0.19849099735699188,23.910467,-190.62949,11.020798,12.985073
Austria,0.0213135109989622,0.11402930213832164,63.498013,-94.56867,11.230296,11.939715
United States,0.4915798359722971,-0.2083987255275521,-211.87723,-28.188011,7.9728537,6.693914
Mexico,-0.29722956838543,-0.2971672022296756,4.8036613,135.22101999999998,1.0929669,9.303629
Canada,0.5227251235411037,-0.07732079315574192,-212.4464,-46.12365,7.862463000000001,6.617667999999999
Guatemala,-0.2647758264706193,-0.17675108180413387,58.17146700000001,136.09784,0.9318185,8.84489
Haiti,0.040063614523005005,0.2192619149608008,37.62917,-209.43668,10.602805,12.900877
Cuba,-0.2991214231706489,-0.059098981753761264,14.155899,242.49115,-0.5440305000000001,9.846916
Dominican Republic,-0.25453403659575724,0.05293737421733547,-0.446653,308.93283,-2.1476269,10.797986
Honduras,-0.2974466371461295,-0.2404303955690459,8.087019999999999,163.70985,0.6292833000000001,9.47498
Nicaragua,-0.2091997044110616,-0.2497929581189797,33.402733000000005,133.89911,1.2708532,8.982569
El Salvador,-0.2537753632415857,-0.1956875530368932,44.28173,149.65878,0.9251774,9.2284975
Brazil,-0.28056075085541005,-0.18746350617532007,51.567406,188.40796,0.15369944,9.22907
Argentina,-0.2325497793798274,0.03411987760958845,21.152988,335.47372,-1.9478446,10.737908
Peru,-0.261796946377787,-0.20731510957192914,77.3381,157.45921,0.5618741999999999,8.72983
Venezuela,-0.2345338901845236,0.02245618537271746,7.0063095,325.23602,-1.962749,10.803093
