index,sport_isomap_x,sport_isomap_y,sport_tsne_x,sport_tsne_y,sport_umap_x,sport_umap_y
Nigeria,0.2682609393677913,0.2557451227325689,-99.59839000000001,61.78801,3.633325,3.356707
Ethiopia,-0.224003653016534,0.3306579023332146,-121.495056,2665.1287,7.714910499999999,5.1964045
Egypt,-0.30818360504355585,0.5031827357966936,305.65775,-2613.262,7.450486,4.9194055
Congo,0.20007864206109408,0.010480854962343338,-72.07843000000001,-3.7440932,3.1253345,3.7359082999999997
Tanzania,0.3612123438980047,0.1707238840807466,-145.23595,30.559416,3.245445,2.8998362999999996
South Africa,0.24812028673298445,0.2918061316844264,-128.02358999999998,77.83787,3.395719,3.3945136
Kenya,0.3890227280395677,0.28634933691507897,-156.98575,45.641975,3.1129987,2.9240150000000003
Uganda,0.22849102659828174,0.3113910141086406,-108.51477,82.36769,3.4879198,3.2138011000000004
Sudan,0.06112060143203195,0.4233953264082076,-92.272575,140.16147,7.5552725999999994,5.069965
Algeria,-0.4701898848754799,-0.14220210493853488,96.07436,137.49702,3.8613195,12.899338
China,0.7006436527119281,-0.025042974474783014,-249.33132999999998,-185.5878,1.4226397,0.9389393
India,-0.287920917886534,0.4948643756732034,-50.53601,210.33548,6.806460400000001,5.023577700000001
Indonesia,0.5434681055713716,-0.00038975835739667386,-233.4512,-160.75517,1.7282218999999996,1.1267728000000001
Pakistan,-0.28020949710282383,0.5545980446368756,-26.609911,210.06306,6.9558163,4.9648129999999995
Bangladesh,-0.025444111470787352,0.4487394993855561,-80.734764,161.18518,7.3691306,5.1304145
Japan,0.5691599086212441,-0.0020539931078354637,-216.68212999999997,-181.4866,1.5658054,1.0995375
Philippines,0.10290546911899973,-0.22981397781978474,37.27924,-80.425,3.6609497,5.5606627
Vietnam,0.7586732964257371,-0.03961540728504373,-288.35443,-68.951355,0.45599243,1.4998045
Iran,-0.4654948333126734,0.4968562562383085,-40.228386,228.98662000000002,7.007789999999999,4.813946700000001
Turkey,-0.6420820513488201,-0.052406227967777726,131.88568,109.61385,3.5949313999999997,12.488653999999999
Russia,-0.6503786074263664,-0.1510687231242696,113.39075,97.081825,3.4951897000000005,12.659538000000001
Germany,-0.6105987951107694,0.15976473986847026,144.73566,159.08213999999998,3.9036362000000002,12.125324
United Kingdom,0.5191496192882573,0.12098165696647327,-150.10086,-42.629090000000005,1.3097793,2.851814
France,-0.6237829253444347,-0.09520195907176186,77.21372,119.50888,3.6812294000000003,12.778974
Italy,-0.6557197668867454,-0.011377760137771295,201.88531,147.98911999999999,4.7363553,11.891653
Spain,-0.4810008553122698,-0.11337265737141106,218.35652000000002,118.6971,4.9869423,11.599578999999999
Ukraine,-0.7178941357291809,0.1426945927959262,202.4917,175.76701,4.519737999999999,11.602503
Poland,-0.6192116713448408,-0.031240098551301256,120.17118,127.36653000000001,3.8713973,12.588846
Romania,-0.5086710898083939,-0.1385832904183621,196.44946000000002,119.22671000000001,4.6955995999999995,11.960854
