index,trait_isomap_x,trait_isomap_y,trait_tsne_x,trait_tsne_y,trait_umap_x,trait_umap_y
Nigeria,0.9979057578786128,-0.7109820930647325,83.66956,-8.105504,3.6806053999999997,3.8107773999999996
Ethiopia,0.3143720055936529,-0.3137189732111165,33.570034,20.054184,4.7667933,3.8025531999999997
Egypt,-1.324099413963202,-0.1205179540202615,17.827566,26.275184999999997,5.4888129999999995,3.5358297999999997
Congo,0.5252291513177234,-0.8121008490807863,108.22008000000001,-0.9356874,3.280185,4.122736
Tanzania,1.4179467832203496,0.14293049726572493,70.37392,-9.721762,3.5958974,3.566097
South Africa,1.1014159094326292,-1.3652789065554354,169.14256,-53.92811,1.3453095,4.957766
Kenya,1.496051136245261,-0.26689066115493665,59.67845500000001,-14.889197,3.7599692000000005,3.6710758
Uganda,1.0985190441422172,-0.7154577563825171,68.32448000000001,4.3485093,3.8074964999999996,3.9956017
Sudan,0.7507532638605627,-0.5436318462989367,48.279613,13.762114000000002,4.24506,3.9474137000000002
Algeria,-1.8927507450082413,0.17870731858783484,-136.45051999999998,62.865936,9.813208,5.1387267
China,2.029627369015187,1.8337155826011773,126.71698,66.22335,2.5783072,1.8977604
India,-0.9648603463184292,1.0637646299568555,-46.106956,79.45740500000001,6.269334,2.5345447
Indonesia,1.8695975404510516,1.4279777380641814,136.2831,49.962486,2.2278700000000002,2.2474380000000003
Pakistan,-1.6036387523146254,0.1154635977466272,-57.814804,84.92303000000001,6.3498807,2.7326946
Bangladesh,0.03813998182332795,0.6419298918068164,-35.347862,75.16859000000001,6.384161,2.401348
Japan,1.3259330325285494,1.987614250234347,103.71642,57.765190000000004,2.9163616,2.2511517999999997
Philippines,1.1147487060563044,1.025918987534596,122.09727,30.738955999999998,2.7896697999999995,2.7894576
Vietnam,2.3967633377657807,2.0982610363716527,138.44151000000002,64.10876,2.3476098,2.000292
Iran,-2.2889265361873554,1.1586510961863077,-70.49038,86.1059,6.437304,2.8687682
Turkey,-0.8610719165540469,2.067551555034965,-40.527706,-104.16462,7.721060799999999,1.0842438
Russia,-1.8861114680663007,1.4496245323206165,-53.39368,-114.69701,8.085844,0.8471482
Germany,-0.39278669207942185,1.9323471217051829,-15.480716000000001,-103.08874,7.2458279999999995,0.7688238000000001
United Kingdom,1.3332803940758158,-1.488319046069603,172.66612,-42.708355,1.0998290000000002,5.03274
France,-1.511797486776744,1.5349979691587017,-36.119865000000004,-127.81209,7.699303,0.5984472
Italy,-2.6365565226209178,1.0989252970699697,-127.02476499999999,90.62889,9.299643,4.580357599999999
Spain,-2.4267961280247907,-0.13707676245286365,-134.93367,78.46358000000001,9.487794000000001,4.894483
Ukraine,-2.5068525756403184,1.1119632092384562,-112.00003999999998,86.91288,9.205664,4.54723
Poland,-1.4225388635139198,1.950269365213415,-54.18935,-98.874886,7.8908877,0.97850734
Romania,-2.0250972268849456,1.3735098351917632,-63.550465,-93.14273,8.111875,1.1366307
Netherlands,0.2745524944610335,2.021122656281512,-7.220412,-95.40295,6.777525,1.1599244
Austria,-0.894352676729525,2.097898909635292,-21.222178,-115.91043,7.543387400000001,0.6569719
United States,2.233393904988654,-1.4200814480825998,215.91027999999997,-49.330894,0.57923424,4.9191575
Mexico,-1.5702680297054914,-1.3678992064899975,-200.48533999999998,-38.768936,9.792335000000001,7.765764
Canada,2.42632653123634,-1.245479579699612,212.00586,-36.82351,0.44107979999999997,4.992968
Guatemala,-1.5245163023846224,-1.0600506782733319,-197.46341999999999,-25.408413,9.97763,7.5700574000000005
Haiti,1.0206955533377042,-0.2238536534885093,102.10653,10.758539,3.0758414000000003,3.4827216
Cuba,-0.954614435353798,-1.062664275422489,-169.8074,-14.609307999999999,10.417239,7.7261605
Dominican Republic,-1.6129147763295577,-0.7418362178227881,-148.85379,19.025734,9.955917,6.387844
Honduras,-0.959242536907187,-1.4606334295268182,-180.10835,-50.739994,10.016296,8.268971
Nicaragua,-0.860535752725655,-1.2453936688743266,-160.49141,-40.76566,10.421963,8.287052000000001
El Salvador,-1.0434693647845021,-1.0479282082935644,-150.05476000000002,-45.06582,10.272078500000001,8.174399000000001
Brazil,-1.3798188054333476,-1.0893908537392394,-195.52364,-2.9976267999999995,9.845708,7.2667246
Argentina,-1.7080530489742534,-0.6461261222886037,-163.03625,55.845367,9.916162,5.501129
Peru,-1.2096756616691506,-0.7667342471507446,-157.08882,27.387218,9.947649,6.2093434
Venezuela,-1.6982043990043738,-0.9499818933715309,-178.55893999999998,48.258520000000004,10.271331,5.807879
Chile,-1.4707929028266307,-1.0606745842835124,-192.09428,11.155231,10.173835,7.0016947
Ecuador,-0.4928871424793568,-1.0268414640110959,-156.40137,-25.082552,10.578831,8.099546
Bolivia,-1.6658494455415094,-1.3518119205214247,-209.09326000000001,15.961941,9.844263,6.913483
Paraguay,-1.1049553854233691,-1.0529909125771773,-185.75618,-9.0203495,10.192772999999999,7.315764
Uruguay,-2.151317665450272,-0.8622336002080424,-163.6337,70.7811,9.627809,5.6218699999999995
Australia,2.0976715045619665,-1.1829551377070555,199.82996,-42.388763,0.727379,4.9179654
Papua New Guinea,3.4821218646855594,-0.2257534624983949,197.9955,17.86526,0.92299515,3.0602784
New Zealand,3.063490046896709,-0.5605114236649187,212.09267000000003,26.297045,0.7089797,3.3998272000000003
Fiji,2.944625247365359,0.3214947147508833,199.75047,35.983017,1.1423594,2.847597
Solomon Islands,1.514692425531012,-0.02492009372559504,92.59465,20.053066,2.9667,3.2848116999999997
Vanuatu,2.3699727502508723,0.14377042162016535,176.48471,45.179928000000004,1.5741416000000001,2.6629906
Samoa,1.317221125140727,-0.9761288996598876,188.20927,-51.146927000000005,0.93467337,5.150205000000001
Kiribati,1.5589359338670086,0.336667730025734,95.3676,38.206055,2.9835386,3.0180105999999998
Micronesia,3.0430926349045686,0.911638591842688,184.22166,28.070911,1.1373634,2.8393285
Tonga,2.517912500926126,-0.14295225234918324,210.28796,41.1751,0.8259502000000001,3.2069347
Colombia,-1.6296349258848082,-0.7569144534238366,-166.58551,43.1965,10.040503999999999,5.8696394
