index,age_isomap_x,age_isomap_y,age_tsne_x,age_tsne_y,age_umap_x,age_umap_y
accountant,-0.9105681261805296,-0.6202052848790229,88.28894,-55.98279,6.9849463000000025,3.4875550000000004
air traffic controller,-2.0454330764891084,0.5721744037136262,150.755,61.78534300000001,6.7790484,-0.38088703
architect,-1.1221435108445463,0.4288294063888137,146.58803999999995,10.520967500000001,6.6589026,1.3866825
artist,1.4210204808259461,-0.2793530962942868,-146.37773,-29.541777000000003,1.1662893,8.716273
attorney,-1.7073900641513868,0.4584719012186178,160.20753,42.46814000000001,6.430338,0.27174440000000005
baker,2.5723648991782246,0.2289031348318171,-131.76099,86.97173000000002,-5.1082487,2.6394846000000003
banker,-0.7938021543569759,0.2687770437121708,109.618095,-16.637072,5.6574583,2.2843025000000003
bartender,1.8020531181329813,-0.2846049932996507,-170.14749,-19.286541,0.42876595,8.486680999999999
barber,-0.6205487212634033,0.23016208184852915,25.895247,-6.113164,5.0473375,2.4157825
barman,-0.22120282616111456,-0.14787616571378415,-11.621098,-56.56035,4.749678,4.399074
barmaid,2.6826474749682547,0.5273231773242648,-109.84066999999999,107.86363999999999,-4.776648000000002,2.2838060000000002
bookkeeper,1.2324733212889056,0.17977949184253822,-133.55205,-37.273506,1.3364588,8.813718
broadcaster,-2.4530804042413683,0.7087555421357049,145.35672,73.15167,6.796995,-0.43041182
builder,-0.0777975643650765,-0.10664416005992228,-19.330269,-54.658775,4.132240299999999,4.5174875
businessperson,-1.3133811374358806,-0.5116654676834858,132.21103,-3.9233010000000004,7.0589699999999995,2.2026892000000005
businessman,-2.1546852345716943,0.5983282848246549,166.57089,68.03366,6.6397924,-0.16351262
businesswoman,1.4859207315093372,0.2973365899558712,-142.72713000000005,18.91224,0.61925334,9.5321245
butcher,-0.005366732969360595,0.18889772983068984,-28.188928999999998,-30.895284999999998,3.8364873,4.360138
captain,-1.0918380180524456,0.379423617717108,158.97253,-43.008995,5.5308194,1.8656901999999997
carpenter,0.25421077173094364,-0.01976468882194396,-61.7155,-59.819786,3.294915,5.570483
cashier,0.5751615042848398,0.1322377947303681,-81.00725600000001,33.216892,3.2259276000000003,6.227393599999999
chef,2.0619122208309566,-0.2426919146086572,-179.97028999999995,-21.91287,0.4570071,8.37626
coach,-0.9805623042744084,-0.402526998716044,73.976555,-34.477627000000005,7.190647,3.1056888
cook,2.574572254610432,0.26496383303366217,-122.39681999999999,88.703125,-5.1483417000000005,2.5513825
computer programmer,-1.0087494619700064,-0.4280649955889364,76.636505,-20.890543,7.417935000000001,3.0580523
dancer,2.976379462191794,0.5627058567616626,-100.09353,102.52541,-4.7327805,2.218954
dental hygienist,-1.2029059896925829,-0.5102152662080836,71.11539499999998,35.379208,8.521063999999999,3.3003142
dentist,-1.5260613324104182,0.21503561263484194,157.65024,28.641151,6.5244393,0.8245033000000002
designer,0.30767081394481743,-0.4234699533934828,-146.2841,-85.88081,4.747724,6.4739842
developer,-0.3853339937448653,-0.6141792879644686,14.062130999999999,-114.52914399999999,5.6189394,4.7716193
dietician,-0.6207146422958727,-0.1598551454458833,56.26768000000001,70.78008,9.020244,3.5795107
doctor,-0.5051506093849627,0.3292921767590909,18.976534,-0.09073084,4.897035,2.433713
economist,-1.1562578343193537,0.3038253858829573,141.6426,2.4361672000000003,6.8964925,1.7515154
editor,-1.3179914026551525,-0.3864365987887925,79.65725,16.654684,8.011865,3.0474544
electrician,-0.9477612428178988,-0.5504517787505693,84.6338,-39.919964,7.0972867,3.1907797
engineer,-0.7034551716588211,-0.6471632403427438,87.99373,-63.924175,6.7034183,3.8267297999999994
farmer,0.4316250270137099,-0.05582653722389306,-63.079975,-69.40285,3.2625957000000003,5.862987
filmmaker,-0.4388762472301299,-0.4766530850222751,46.505577,-70.64588,5.9483559999999995,4.544339
financier,-2.7962386557326067,0.8430406561534602,148.96577,88.14604,6.7523313,-0.76696897
fireman,0.3712334853377778,0.005834764113465298,-54.788403,-65.756065,3.2982782999999998,5.5240445
fisherman,1.1207329910426829,-0.20836718255608308,-128.53903,-17.86413,1.3877912000000001,8.396493
flight attendant,0.5025455772201288,-0.11687378804349227,-143.84265,-104.35643,4.1696089999999995,6.216412
gardener,1.2609574368578345,0.06786732002079697,-138.24464,-21.325054,1.0884055000000001,8.92275
guidance counselor,-0.9160587150681644,-0.32430507785760304,59.264675,56.208874,8.933473,3.512078
hairdresser,2.1461589641035306,0.2079219374989628,-127.42335,67.39159000000001,-5.1908755,3.0151138
homemaker,2.7304376501825294,0.4607818177333871,-124.876976,98.40649,-5.0555959999999995,2.6355708
housekeeper,2.2872627747420724,0.45032276042550895,-121.206635,73.38126,-5.1291413,2.897339
interior designer,-0.11901740724388415,-0.34870113763613025,-12.350877,57.002415,5.6243834,6.2618337
jeweler,0.2618799665430402,0.03635842832804957,-131.4971,-96.3441,4.4463444,5.9311690000000015
journalist,-1.0138591808348605,-0.4000629830258988,81.57194,-29.78197,7.305563,2.8918502
judge,-0.28417830947043315,0.3027532828413995,12.709182,11.873771000000001,4.689193,2.6790376
lawyer,-1.3661203684047285,0.5042952567190627,154.28368,19.658197,6.606746,0.80277425
