index,beverage_isomap_x,beverage_isomap_y,beverage_tsne_x,beverage_tsne_y,beverage_umap_x,beverage_umap_y
accountant,-0.6910605467442442,0.06718150245984465,-90.78699,72.22896,-5.652852,7.466776
air traffic controller,-0.8624515014693594,-0.1340808545231652,-107.90424,95.78884,-6.9228125,7.9918857
architect,-0.6837801806418595,0.22955348367421366,-54.46112,56.474865,-5.1529284,7.3017263
artist,0.6644255900673159,0.09370779949154412,75.25592,-22.713106,1.5312842,4.4360056
attorney,-0.7526219467453688,0.05372718639830438,-101.8547,46.266174,-3.908002,7.9757266
baker,0.9710970703708044,-0.1933425916536022,147.7317,-83.119095,7.9786267,2.0249865
banker,-0.543664316072422,0.27157699712103356,-77.84761,61.01471,-5.2387333,7.696685
bartender,-0.19284724012768745,-0.5694537957505112,-82.16661,-35.32717,-1.3886747,7.203701
barber,-0.04480108791048609,0.23501888215633598,50.841324,71.21252,-0.9079236,3.67887
barman,-0.6944005786880945,0.12359170678110437,-93.87113,54.463448,-4.133689,7.9432206
barmaid,1.1184078823516663,0.09917020644252153,131.95557,-67.41716,8.474295,1.7683887
bookkeeper,0.7655475673086729,-0.16835083430089476,18.63677,-82.29377,6.0458055,2.9102893
broadcaster,-0.8655037479248501,0.16319492529516846,-88.76631,95.7658,-6.7623334,7.67019
builder,-0.3400854173795299,0.2537907507962516,8.270464,84.2705,-2.0055764,4.529864
businessperson,-0.8414727729883991,-0.10856749803493858,-103.46851,82.52821,-6.8035574,7.8944736
businessman,-0.6899033040346477,0.33175923380425326,-70.76438,77.55137,-5.985257,7.376587
businesswoman,1.1007313047874696,-0.15762490957135436,142.27054,-63.22594,8.1946945,2.2230089
butcher,0.02569103609957031,0.2611577703254031,58.876705,69.55386,-0.600439,3.7216854
captain,-0.9554138386574357,0.14097555274890608,-148.61253,49.076706,-3.5725937,9.077405
carpenter,-0.18931802415226995,0.26282508992845827,19.139126,88.230156,-1.6476108,4.286394
cashier,0.1996901490428,-0.2164192112381168,-36.50153,-64.20721,3.1411142,4.095945
chef,0.3199281932614552,-0.0244714737376226,39.816597,-59.603622,2.973011,4.4893966
coach,-0.7816434773121932,-0.19164085909630849,-117.40733,25.324913,-3.2432451,8.208024
cook,1.105706213316927,-0.15992864099805534,150.79922,-75.82641,8.043552,1.9243195
computer programmer,-0.5204224887525442,-0.23714581129282863,-100.44512,15.140434,-2.381107,7.240176
dancer,0.9690867067592862,0.2736221539657955,121.89526,-72.17734,8.298512,1.5912678
dental hygienist,-0.17471898919423545,-0.47516059518119536,-78.67948,-14.534452,-1.2003702,6.778188
dentist,-0.1926963705249771,0.05290140329640853,39.259346,65.550095,-0.92196214,3.4877064
designer,0.2844291856087918,-0.30976113019861523,-16.163095,-116.699646,3.8549047,4.4840574
developer,-0.9695021227925217,-0.34269509526901804,-148.20311,33.66596,-3.3006635,8.968338
dietician,0.7101173445519685,-0.3585214659848526,26.379469,-87.89283,5.949237,2.9912221
doctor,0.2555732851390278,0.24190308624000503,40.22926,1.5520407,2.1140668,3.2726128
economist,-0.7035257955329518,0.26283674379212185,-76.60681,86.43293,-6.2585974,7.5170703
editor,-0.3336709262319979,-0.3711247040748089,-69.92751,-18.764063,-1.4995501,6.6316032
electrician,-0.8438677829153542,-0.18065839975079262,-107.90992,87.364174,-6.9822555,8.064113
engineer,-0.8217337668950988,0.1611399097443174,-83.36261,88.385315,-6.478572,7.6596265
farmer,-0.22735713154786488,0.28116123147344546,16.499683,81.57141,-1.8042666,4.403874
filmmaker,-0.5208904467409132,0.06815637098734187,-92.63372,16.615507,-2.4923098,7.282138
financier,-0.9191098841297968,0.22172262087280117,-78.94576,102.080475,-6.5495157,7.4999385
fireman,-0.4378713695511764,0.2765381127704723,-3.2201157,88.867004,-2.1562357,4.6262417
fisherman,-0.11171216791385494,0.26627453846933685,27.076403,79.26409,-1.438712,4.230955
flight attendant,0.167716810384864,-0.37377380829682616,-43.336987,-65.67435,-0.38791704,6.988207
gardener,0.4120809031451003,0.18483785792028676,42.009613,-28.579552,2.1280987,4.043415
guidance counselor,0.11563669201443051,-0.48673349634742435,-51.055054,-77.32487,-0.4334926,6.898423
hairdresser,1.2841266881847166,-0.11511814602033042,160.78555,-56.150993,8.493894,2.347153
homemaker,1.2254177531686634,-0.1587645633349533,153.03795,-40.68327,8.662733,2.1888847
housekeeper,1.2266932980865666,-0.08485443168986116,153.96559,-58.81022,8.584577,2.1354437
interior designer,0.3394742576373776,-0.30702219600376734,-7.7995443,-115.69651,4.015565,4.251352
jeweler,0.6178555556405304,0.20726673089057823,54.89233,-37.22654,2.2524195,4.2767754
journalist,-0.5470410329735469,-0.12383434212870273,-60.057865,31.873365,-4.6210456,7.128671
judge,0.3089150302866343,0.5766862708288951,79.6222,29.539173,0.6106346,4.2995005
