sport,country,direct_correlation,indirect_correlation,same_correlation
football,Nigeria,0.2022354116216276,0.06525498953582048,True
football,Ethiopia,-0.45481229428767295,-0.06519156189832005,True
football,Egypt,-1.482495691294335,-0.040123360585373,True
football,Congo,-1.107307261221189,-0.13234654658289954,True
football,Tanzania,-0.586959153604395,-0.04788947298249106,True
football,Kenya,-0.6343951917677516,0.06637504158050225,False
football,Uganda,-0.1151705523746398,0.013553722542017132,False
football,Sudan,-0.36326306497565525,0.006953303253594132,False
football,Algeria,-0.47108147189537997,-0.1261195285729913,True
football,China,-0.973187530196721,0.0809268211115986,False
football,India,-1.122107507307216,-0.00018491861611649488,True
football,Indonesia,-1.1863150669377525,-0.014713375857330546,True
football,Pakistan,-0.5053921733252347,0.05411615713932552,False
football,Bangladesh,-0.40211888424159364,-0.0037060876036731174,True
football,Japan,-0.3163868078402608,0.08393465904711586,False
football,Philippines,-0.8622079280323323,-0.01284558167717667,True
football,Vietnam,-0.79521363913758,0.06325630287693154,False
football,Iran,-0.6211030357159871,0.06348401987957185,False
football,Turkey,1.0116017434401303,0.05181603880777995,True
football,Russia,0.4560975408330659,0.009311035886312003,True
football,Germany,0.43371575618173464,0.03571658946522666,True
football,France,-0.329338299583215,-0.09901031913285605,True
football,Italy,-0.19971323095034252,-0.12873556583204737,True
football,Spain,-0.2740184599090421,-0.1067015788576849,True
football,Ukraine,1.215441235691757,0.026212683416416763,True
football,Poland,0.31185591604905244,0.026253480080940673,True
football,Romania,0.30461286916127583,-0.08982081565825253,False
football,Netherlands,-0.2192679093583232,0.05193773230058719,False
football,Austria,0.052404577292702266,-0.03581140622997104,False
football,Mexico,-0.6835666058518461,-0.07138068418614447,True
football,Canada,-0.08529844119001735,0.11986560515634719,False
football,Guatemala,-1.1353042578091803,-0.16405831895527312,True
football,Haiti,-1.5744650565634344,-0.1682597058347736,True
football,Cuba,-0.6161941534850307,-0.05649225730623063,True
football,Honduras,-0.713109440250179,-0.04259059586154327,True
football,Nicaragua,-0.9493941160778734,-0.05462088415718213,True
football,Brazil,-0.5264975416096173,-0.11339276422789098,True
football,Colombia,-0.8153456210019789,-0.1467752779050089,True
football,Argentina,-0.36544506782418773,-0.0774138861519028,True
football,Peru,-0.5167603503783895,-0.08507518316137182,True
football,Venezuela,-0.48722118211532045,-0.09551851011747739,True
football,Chile,-0.2473018182080184,-0.09568600508391933,True
football,Ecuador,-0.7704503900952218,-0.10019080526069558,True
football,Bolivia,-0.48299082236858315,-0.13982269702924133,True
football,Paraguay,-0.029198968073295646,-0.10679930238456518,True
football,Uruguay,0.12650315939232934,-0.06203986994482364,False
football,Australia,-0.06876598311332799,0.11540056631314398,False
football,Fiji,-0.46218613296355343,0.054591860570215006,False
football,Samoa,0.20076793079573585,0.01294475864978149,True
football,Tonga,0.15550084399485564,0.036724424662790446,True
basketball,Nigeria,-0.05127527037141774,0.02242300747610713,False
basketball,Ethiopia,-0.2988983892172233,-0.1107298072684113,True
basketball,Egypt,-1.191624362204827,-0.02746962923811336,True
basketball,Congo,-0.8018551539936307,-0.14570731473891974,True
basketball,Tanzania,-0.20501484245990745,-0.054370380852993075,True
basketball,Kenya,-0.772311538815341,0.05223378366406348,False
basketball,Uganda,0.28663648393232305,-0.011797507141723465,False
basketball,Sudan,-0.32817075249924066,-0.021129959235694235,True
basketball,Algeria,-0.9251274400838805,-0.1857032516571744,True
basketball,China,-0.1359072191909124,0.1454579947891686,False
basketball,India,-0.7279763339117846,0.08316736362822752,False
basketball,Indonesia,-1.045783723207873,-0.027761528078254837,True
basketball,Pakistan,-0.29417198246713416,0.11541687522560741,False
basketball,Bangladesh,-0.7423437064040254,0.06644052408326596,False
basketball,Japan,-0.25125206391419425,0.07260688754364407,False
basketball,Philippines,-0.494518146282117,-0.01907721140776789,True
basketball,Vietnam,-0.8643279505975321,0.08704447488626381,False
basketball,Iran,-0.43929474586325623,0.058046878067648584,False
basketball,Turkey,0.611105054669825,-0.04994797054869763,False
basketball,Russia,0.5548579515937339,-0.032214140409177125,False
basketball,Germany,-0.10019514045093182,-0.05087918018493503,True
basketball,France,-0.7106526942591771,-0.1674271228016722,True
basketball,Italy,-0.7721480763519445,-0.21338507669470091,True
basketball,Spain,-0.7557615698057765,-0.1986297237183035,True
basketball,Ukraine,0.9584105096302263,-0.07007343793033682,False
basketball,Poland,0.1456266857998899,-0.07356449337749356,False
basketball,Romania,-0.23388312721520588,-0.20321987190269136,True
basketball,Netherlands,-0.7893931665821098,-0.009829581523226856,True
basketball,Austria,-0.1941268111924653,-0.14079005602805467,True
basketball,Mexico,-0.4416980638073555,-0.13278210247891215,True
basketball,Canada,0.12385699727668836,0.08839811169673725,True
basketball,Guatemala,-0.7674338625679257,-0.19777385540539438,True
basketball,Haiti,-0.8156466284747627,-0.1720514680256227,True
basketball,Cuba,-0.45348648701371597,-0.09761826438662942,True
basketball,Honduras,-0.6552438353806975,-0.10902064229248963,True
basketball,Nicaragua,-0.4713469718573915,-0.0979728920824662,True
basketball,Brazil,-0.6651546449749415,-0.1421690182447773,True
basketball,Colombia,-1.2552427645099657,-0.16472101735262928,True
basketball,Argentina,-0.6835911500408544,-0.12455035462696404,True
basketball,Peru,-0.2974878851951799,-0.1490480841239315,True
basketball,Venezuela,-0.4233577864410502,-0.12857147723652287,True
basketball,Chile,-0.3445730710812199,-0.17402776960481997,True
basketball,Ecuador,-0.6583762944943351,-0.14429241195762407,True
basketball,Bolivia,-0.33848128483687934,-0.1401795624114325,True
basketball,Paraguay,-0.4437703217395852,-0.15223737186877043,True
basketball,Uruguay,-0.2940406256818186,-0.13864409035173536,True
basketball,Australia,-0.7408689190630239,0.08590805537084924,False
basketball,Fiji,-0.4915019187954601,0.009191539534815643,False
basketball,Samoa,-0.4123136545457316,-0.07793245419334248,True
basketball,Tonga,-0.05577123608228703,-0.05904434945345567,True
cricket,Nigeria,0.3114208634994657,0.010932806501336278,True
cricket,Ethiopia,-0.4666468412861848,-0.025386949102088635,True
cricket,Egypt,-1.0984406811399379,0.013022043419390209,False
cricket,Congo,-1.2802777184803171,-0.10166779515769495,True
cricket,Tanzania,0.7744981394950741,-0.009644203377485809,False
cricket,Kenya,0.27707709735195096,0.05551176460658621,True
cricket,Uganda,0.34579672030027675,0.03380836714824221,True
cricket,Sudan,-0.042196322588312955,0.029629095463980373,False
cricket,Algeria,-0.5949276275977483,-0.12136697922922032,True
cricket,China,-0.6595478978462671,0.06670573480662557,False
cricket,India,1.3177717159223161,0.023304794828274612,True
cricket,Indonesia,0.041460896703030964,-0.04343386704197593,False
cricket,Pakistan,1.5299733813331653,0.06587695115782273,True
cricket,Bangladesh,1.4533198026968621,-0.019380855628173915,False
cricket,Japan,-0.4051667837231539,0.03902431260410322,False
cricket,Philippines,-0.09395084566019406,-0.0429838001951993,True
cricket,Vietnam,-1.0642678431181978,-0.024024673433614516,True
cricket,Iran,-0.5986002394729414,0.04335272472992201,False
cricket,Turkey,0.3801225227324397,0.05179555680148185,True
cricket,Russia,-0.5710140231482699,0.033550522684231567,False
cricket,Germany,-0.5504225394811454,0.0378114114250746,False
cricket,France,-0.6526554723566672,-0.05922844367614373,True
cricket,Italy,-0.9380978597364544,-0.10431807234278018,True
cricket,Spain,-0.6358641288661558,-0.03679709820549436,True
cricket,Ukraine,0.11082039261006875,0.05167832055793631,True
cricket,Poland,-0.5060298884946693,0.05682730438752323,False
cricket,Romania,-0.443488175718398,-0.07367532178397132,True
cricket,Netherlands,0.2948083687724278,0.048061830369240464,True
cricket,Austria,-0.28234962614787856,0.024395710105211844,False
cricket,Mexico,-1.199651727102786,0.004152496154094769,False
cricket,Canada,-0.21298731077894284,0.1260961852595959,False
cricket,Guatemala,-1.3324901965488845,-0.08999395689084802,True
cricket,Haiti,-2.15384306105052,-0.1289061984879552,True
cricket,Cuba,-1.3384913348489789,-0.03569375219778357,True
cricket,Honduras,-1.2927566340822227,-0.028336673333366723,True
cricket,Nicaragua,-1.5234095386402569,-0.057272682105270256,True
cricket,Brazil,-0.7344603253474925,-0.10656195743461172,True
cricket,Colombia,-1.142201389467544,-0.14197384958615847,True
cricket,Argentina,-0.40716372870795375,-0.05553476809915591,True
cricket,Peru,-0.4372262761510831,-0.03553573852851369,True
cricket,Venezuela,-0.7629411492687486,-0.08263438751734638,True
cricket,Chile,-0.5164692362299761,-0.06331159350004341,True
cricket,Ecuador,-0.7744276815219616,-0.07013092856161635,True
cricket,Bolivia,-0.638739803942202,-0.10730725022045692,True
cricket,Paraguay,-0.373180625725231,-0.09756513272802927,True
cricket,Uruguay,0.08996823145229439,-0.03659665519239724,False
cricket,Australia,1.2418481752846922,0.12416509850940433,True
cricket,Fiji,0.9276272012194192,0.0425537255167302,True
cricket,Samoa,-0.013878943376065083,-0.025818902872848312,True
cricket,Tonga,0.31610717385923953,0.026254302241627864,True
hockey,Nigeria,-0.9908852605412543,0.07706307975062099,False
hockey,Ethiopia,-1.5884539001527562,-0.061519245508557016,True
hockey,Egypt,-2.60357736806496,-0.0426483183546249,True
hockey,Congo,-1.3559428299271172,-0.1055664562789296,True
hockey,Tanzania,-1.3796830994886125,-0.011534220375743061,True
hockey,Kenya,-1.568790504481592,0.10312178976597729,False
hockey,Uganda,-0.9459303359140495,0.0484157509481989,False
hockey,Sudan,-1.6211203081983026,0.023855818542250534,False
hockey,Algeria,-1.867237349791911,-0.14606232659681173,True
hockey,China,-1.0254080468930442,0.1342218351442385,False
hockey,India,-1.5055154049097461,0.0707622277261034,False
hockey,Indonesia,-2.26883568965697,0.0015824389567895337,False
hockey,Pakistan,-0.9556025411725633,0.11760594780764498,False
hockey,Bangladesh,-1.3713512623458464,0.07575015197101734,False
hockey,Japan,-0.08545008030525895,0.10837620400973998,False
hockey,Philippines,-1.393274098271881,-0.002744103944564749,True
hockey,Vietnam,-1.5786914793139848,0.10714265905173488,False
hockey,Iran,-1.4416166236495878,0.07813843887254728,False
hockey,Turkey,0.27159297751080425,0.024773097119571756,True
hockey,Russia,0.9520262638431806,0.001657334694407929,True
hockey,Germany,0.01753218518896945,-0.0057046206739955726,False
hockey,France,-0.8499892868803034,-0.15209930117202847,True
hockey,Italy,-0.8898895099822506,-0.20435283041127833,True
hockey,Spain,-1.0382256591343442,-0.19577149930230914,True
hockey,Ukraine,1.3955728783326118,0.01138135659416852,True
hockey,Poland,0.4639762707019904,-0.013284185779694471,False
hockey,Romania,-0.525046712555143,-0.1376849428871672,True
hockey,Netherlands,-0.7451704904672356,0.03794996920871871,False
hockey,Austria,0.31140094488253023,-0.086533992538686,False
hockey,Mexico,-0.6722092019594769,-0.11795271904594559,True
hockey,Canada,1.3985882468487423,0.1403635691879276,True
hockey,Guatemala,-1.4901634820330487,-0.1741164087236912,True
hockey,Haiti,-1.316245405965147,-0.18133116184225748,True
hockey,Cuba,-0.35992488210148554,-0.10132748411483632,True
hockey,Honduras,-1.075094777158172,-0.07972227846418978,True
hockey,Nicaragua,-1.2715036127608066,-0.08162351282879064,True
hockey,Brazil,-1.347676802971152,-0.1481029724445315,True
hockey,Colombia,-1.3709271489888855,-0.16464398879364064,True
hockey,Argentina,-0.9811386175076211,-0.12462132469719171,True
hockey,Peru,-0.879058220954003,-0.11912030183144139,True
hockey,Venezuela,-0.7638949764236905,-0.14150091895309533,True
hockey,Chile,-0.4900153472068446,-0.1644746488954894,True
hockey,Ecuador,-1.411201544663314,-0.11906152208347291,True
hockey,Bolivia,-0.7887267780851986,-0.13730917562760903,True
hockey,Paraguay,-0.6218656689084001,-0.14711169982440048,True
hockey,Uruguay,-0.4654868291722696,-0.11963460178601651,True
hockey,Australia,-0.3987353415172208,0.1327575585213103,False
hockey,Fiji,-0.8537381058752048,0.07744224155576722,False
hockey,Samoa,-0.25523039611538995,0.004065266379008732,False
hockey,Tonga,-0.09786876768744417,0.02933490232481606,False
tennis,Nigeria,-0.6383982151761448,0.04572034029868957,False
tennis,Ethiopia,-0.7700252508418125,-0.07853650385735021,True
tennis,Egypt,-1.4989728732589815,-0.09411793859941099,True
tennis,Congo,-1.319895438584982,-0.09023827849550337,True
tennis,Tanzania,-0.12515113304547265,0.0017222091006394496,False
tennis,Kenya,-0.9202718788234548,0.07647911351243115,False
tennis,Uganda,-0.8809493216241138,0.02510303484657321,False
tennis,Sudan,-0.7288510864205023,-0.026331512553356987,True
tennis,Algeria,-1.0983749354798071,-0.15964480403092568,True
tennis,China,-0.24549776097390072,0.08442713843901403,False
tennis,India,-0.270250281597894,0.04256234856817984,False
tennis,Indonesia,-0.5006039053759046,0.026517354702567917,False
tennis,Pakistan,-0.41364062069998647,0.041142451142865515,False
tennis,Bangladesh,-0.932048659356831,0.014828888312087589,False
tennis,Japan,0.08627865331611027,0.1018966518846452,True
tennis,Philippines,-0.5659481152202582,0.029396131454453484,False
tennis,Vietnam,-1.2313446237803265,0.02715676338266212,False
tennis,Iran,-0.4651398763694572,0.001965386155198508,False
tennis,Turkey,0.3214847543374476,0.014400525862258432,True
tennis,Russia,0.5801119164841697,0.0033220295217388685,True
tennis,Germany,0.25500698492241675,0.011359578630175662,True
tennis,France,0.10200340328289069,-0.08573335491465303,False
tennis,Italy,0.08047607849420484,-0.11399821458521942,False
tennis,Spain,0.42650685465492,-0.10735212031973823,False
tennis,Ukraine,0.540428578292686,0.007930913768150008,True
tennis,Poland,-0.10811648345870095,0.011637706874085323,False
tennis,Romania,0.0533611282296669,-0.06329613728145683,False
tennis,Netherlands,0.11811804394494156,0.059656292769464526,True
tennis,Austria,0.6594299114424689,-0.020092646175058033,False
tennis,Mexico,-0.3437154892360465,-0.0771267320223912,True
tennis,Canada,0.18312343185096613,0.10173237317112616,True
tennis,Guatemala,-0.6627903252347978,-0.10999777895520327,True
tennis,Haiti,-0.5316536192660729,-0.133594080313037,True
tennis,Cuba,-0.1665704028618338,-0.084523374865505,True
tennis,Honduras,-0.6759515625104034,-0.017195774748288116,True
tennis,Nicaragua,-0.21608917392038024,-0.025407766896685013,True
tennis,Brazil,0.21196381455077795,-0.08759815180298251,False
tennis,Colombia,-0.670895555231586,-0.10763718891483717,True
tennis,Argentina,0.20961747346057752,-0.06505269482901421,False
tennis,Peru,-0.08037467899171459,-0.040724699920433476,True
tennis,Venezuela,0.04493922223303216,-0.08964674705345624,False
tennis,Chile,0.6981388151086306,-0.09607651723835707,False
tennis,Ecuador,-0.4017050846656384,-0.08409983965280549,True
tennis,Bolivia,-0.4309755011081839,-0.11815625882909009,True
tennis,Paraguay,0.337237108526756,-0.08712980649658021,False
tennis,Uruguay,0.3572071685874135,-0.05122622228642184,False
tennis,Australia,0.5413810110923309,0.12016073810447969,True
tennis,Fiji,0.17645774279013204,0.10671852080628419,True
tennis,Samoa,-0.20865633563148703,0.04033249545797577,False
tennis,Tonga,0.018933958402964506,0.0379470890522431,True
volleyball,Nigeria,-0.2950867370764722,0.10620857037307764,False
volleyball,Ethiopia,-0.4684017579143618,-0.01006239588289397,True
volleyball,Egypt,-1.6059905909001249,-0.007628248474039819,True
volleyball,Congo,-1.1144684324363154,-0.06262401372645462,True
volleyball,Tanzania,-0.12656806025745504,0.06848663038030625,False
volleyball,Kenya,-0.8517808254713108,0.10960525933874231,False
volleyball,Uganda,-0.3121238782050804,0.04373436663134931,False
volleyball,Sudan,-0.6436960076935954,0.05525223998883941,False
volleyball,Algeria,-0.8399393758594198,-0.08927542296775075,True
volleyball,China,-0.5350403611228893,0.1351677493670294,False
volleyball,India,-1.0731250417032145,0.09601065198208378,False
volleyball,Indonesia,0.07978831225651498,0.11016564431130105,True
volleyball,Pakistan,-0.9955724042936583,0.10182494618915416,False
volleyball,Bangladesh,-1.0866625497325442,0.05585900151286085,False
volleyball,Japan,0.12346448401366775,0.14704771720984944,True
volleyball,Philippines,0.12932979616837895,0.0664373865348539,True
volleyball,Vietnam,-0.6354526487954658,0.028658419828620708,False
volleyball,Iran,-0.7193118261568088,0.110287719723069,False
volleyball,Turkey,0.9627512600788178,0.03374393057200682,True
volleyball,Russia,0.5803781357772569,0.03909940810479682,True
volleyball,Germany,0.19967765202868457,-0.04506252839734623,False
volleyball,France,-0.6698637513417596,-0.13452725716965938,True
volleyball,Italy,-0.16685797825046142,-0.11716246723409912,True
volleyball,Spain,-0.0272191037961028,-0.09631968775737926,True
volleyball,Ukraine,1.0281512560202735,0.020365348537062566,True
volleyball,Poland,0.36280286269408984,-0.04043231825295358,False
volleyball,Romania,0.4853538196833461,-0.05247342424423638,False
volleyball,Netherlands,0.051994825920875384,0.0022456087106568754,True
volleyball,Austria,-0.05780680111923154,-0.08969533674897553,True
volleyball,Mexico,-0.24792917370425294,-0.07769850518719944,True
volleyball,Canada,-0.30799297096451544,-0.01562817507126545,True
volleyball,Guatemala,-0.3232273524822595,-0.10223256063039307,True
volleyball,Haiti,-1.00969391695841,-0.122082677779431,True
volleyball,Cuba,0.061962086750468125,-0.05674907129552123,False
volleyball,Honduras,-0.24304355478052875,-0.02771523075001095,True
volleyball,Nicaragua,0.4603435787153226,-0.005814395298738741,False
volleyball,Brazil,0.13651123806863177,-0.04378586491557616,False
volleyball,Colombia,-0.6179811182656866,-0.08703811815292996,True
volleyball,Argentina,-0.17177377647716344,-0.03732314322498712,True
volleyball,Peru,0.0036393916395767905,-0.02032209678816905,False
volleyball,Venezuela,-0.2337691029880487,-0.050055975356460336,True
volleyball,Chile,0.5248687807823317,-0.07237782869218114,False
volleyball,Ecuador,-0.28449950292410475,-0.03977707748025625,True
volleyball,Bolivia,-0.29073621473253025,-0.06528437136139073,True
volleyball,Paraguay,0.45738812368118414,-0.07020007554788339,False
volleyball,Uruguay,0.5508326859892921,-0.05864325926731219,False
volleyball,Australia,0.0284514850555178,0.04547409554273456,True
volleyball,Fiji,0.11880184656597353,0.10607065290087406,True
volleyball,Samoa,0.6315504312536507,0.05391279373623738,True
volleyball,Tonga,0.6585686903862343,0.04606896277166017,True
table tennis,Nigeria,-0.4953397290178167,0.06001986478317375,False
table tennis,Ethiopia,-0.2430550687503971,-0.019728148155188554,True
table tennis,Egypt,-1.019938674309202,-0.01971399567587748,True
table tennis,Congo,-0.9983899293737784,-0.059408845553536656,True
table tennis,Tanzania,0.006958621007895029,0.05269523928930307,True
table tennis,Kenya,-0.5607186625135414,0.09727447589119224,False
table tennis,Uganda,-0.4701041170769925,0.034168142789648116,False
table tennis,Sudan,-0.6229520034568452,0.04131515849954287,False
table tennis,Algeria,-0.5876613810298533,-0.10971012896730571,True
table tennis,China,-0.23735130934055132,0.12982026408556055,False
table tennis,India,-0.1807587928736125,0.11285699621740274,False
table tennis,Indonesia,-0.5689235697865259,0.06510483899789779,False
table tennis,Pakistan,-0.26310865296593205,0.1081398442198101,False
table tennis,Bangladesh,-0.6139764354472914,0.060748626026655116,False
table tennis,Japan,0.01341536780261058,0.10804874654188681,True
table tennis,Philippines,-0.5310233806578215,0.04964172296846311,False
table tennis,Vietnam,-0.9985127199590154,0.01400298395909836,False
table tennis,Iran,-0.2836495091615334,0.08907359048209909,False
table tennis,Turkey,0.6218329982220423,0.03332186261010052,True
table tennis,Russia,0.7063801264932705,0.043229537359326865,True
table tennis,Germany,0.17888803295385583,-0.027519073920677,False
table tennis,France,0.005674924278380136,-0.10695955201100998,False
table tennis,Italy,-0.13884984984863682,-0.11269126301945617,True
table tennis,Spain,0.1150381574575288,-0.08924845117602853,False
table tennis,Ukraine,1.097044469906345,0.04092563670270146,True
table tennis,Poland,0.34448255329308347,-0.009322223627302714,False
table tennis,Romania,0.08774934779317989,-0.05199985941860851,False
table tennis,Netherlands,-0.0015641775380383683,0.024625963704283948,False
table tennis,Austria,0.41720847535009126,-0.04594988066350505,False
table tennis,Mexico,-0.21882716482460102,-0.06618581547074077,True
table tennis,Canada,0.11147230301867009,0.0354206645971878,True
table tennis,Guatemala,-0.5329373792342957,-0.07739036357345395,True
table tennis,Haiti,-0.6630845890965814,-0.12313163416685034,True
table tennis,Cuba,-0.1650537346651631,-0.06311673007728257,True
table tennis,Honduras,-0.5934181723705979,-0.01992916723769396,True
table tennis,Nicaragua,-0.35145702190259986,-0.015603993126537688,True
table tennis,Brazil,-0.31160697547953736,-0.06531394723510828,True
table tennis,Colombia,-0.7835336251078638,-0.10065419996655943,True
table tennis,Argentina,-0.27833325540078085,-0.044972914467460115,True
table tennis,Peru,-0.1210315636847372,-0.020473737252067456,True
table tennis,Venezuela,-0.19811812943404955,-0.058386860235417636,True
table tennis,Chile,0.15286539845453198,-0.09510107330844006,False
table tennis,Ecuador,-0.4065392212257096,-0.045533005776666226,True
table tennis,Bolivia,-0.30650684525979643,-0.06712034258029162,True
table tennis,Paraguay,-0.14564230413273768,-0.07739660263729983,True
table tennis,Uruguay,0.11760855974539104,-0.055972765865295496,False
table tennis,Australia,0.041052336188089365,0.07613737684815991,True
table tennis,Fiji,-0.2399705886357219,0.1107075079263257,False
table tennis,Samoa,-0.22891266467946428,0.023271775006642056,False
table tennis,Tonga,-0.08357428070884823,0.016075451255492385,False
martial arts,Nigeria,0.16832991154582458,0.08352579570019363,True
martial arts,Ethiopia,-0.05677913416055105,0.07045326205598515,False
martial arts,Egypt,-1.0360443312323642,0.053912765042892524,False
martial arts,Congo,-0.6724716179270382,-0.02231480877348073,True
martial arts,Tanzania,-0.6380465196773276,0.0865256257104424,False
martial arts,Kenya,-0.9224609193847806,0.06168782246379313,False
martial arts,Uganda,0.05873954744162464,0.04186952727315712,True
martial arts,Sudan,-0.034391829486657324,0.10821827351630665,False
martial arts,Algeria,-0.7499726461708152,-0.009397311517927923,True
martial arts,China,0.7610451722200837,0.1011612217461448,True
martial arts,India,-0.15555852018781433,0.06225532197328135,False
martial arts,Indonesia,0.15126933550536276,0.10539287645469529,True
martial arts,Pakistan,-0.1203647750327138,0.070644670504776,False
martial arts,Bangladesh,-0.6771698020050487,-0.007412212465288344,True
martial arts,Japan,1.2570609357641749,0.14849579117251285,True
martial arts,Philippines,0.05359050675355806,0.05070406417858933,True
martial arts,Vietnam,0.7301900947832198,0.005199855364112259,True
martial arts,Iran,0.08582366357558656,0.1297564302031345,True
martial arts,Turkey,0.6795003935310243,0.09598618026632497,True
martial arts,Russia,1.3925796493584992,0.11762766193104215,True
martial arts,Germany,0.25049482598443124,-0.03439176608881717,False
martial arts,France,-0.5009445183911266,-0.06703345176515757,True
martial arts,Italy,-0.5675337780501594,-0.04929136924879789,True
martial arts,Spain,-0.5327529571910314,0.010429983829900978,False
martial arts,Ukraine,0.7974059261170526,0.06773528240448166,True
martial arts,Poland,-0.4165479249735751,-0.034139833708403025,True
martial arts,Romania,-0.19217371919969264,0.023786039335429433,False
martial arts,Netherlands,-1.1465011133866208,-0.042520667514283496,True
martial arts,Austria,-0.4781145647833594,-0.02996372268598055,True
martial arts,Mexico,-0.1323716089395119,0.001348106677979519,False
martial arts,Canada,0.059477291591581466,-0.05033527313743285,False
martial arts,Guatemala,-0.6878675004621319,-0.010196799829237884,True
martial arts,Haiti,-0.5952908866266139,-0.04925848373371715,True
martial arts,Cuba,0.4472140137289696,0.025917144751629567,True
martial arts,Honduras,-0.7862678067992686,0.004283135373256964,False
martial arts,Nicaragua,-0.20733357447630582,0.031806282614374404,False
martial arts,Brazil,-0.4816223012837936,0.004131549187146133,False
martial arts,Colombia,-0.32140813619027314,-0.05948157066775457,True
martial arts,Argentina,-1.1543427632769911,0.006132708169833126,False
martial arts,Peru,-0.08522213490687557,0.07023268547992885,False
martial arts,Venezuela,-0.12516534900177487,-0.00020123598449551681,True
martial arts,Chile,-0.31578919066785455,0.017296741027892918,False
martial arts,Ecuador,-0.7451542636072711,0.04365017532854992,False
martial arts,Bolivia,-0.27324221961896794,-0.0036333560894725404,True
martial arts,Paraguay,-0.7941499187588946,-0.0286035734583801,True
martial arts,Uruguay,-0.6557391743452653,-0.009141230815931066,True
martial arts,Australia,0.020479573894065933,-0.0030521905521497155,False
martial arts,Fiji,-0.49044037301843674,0.08952467664953155,False
martial arts,Samoa,0.2447161412067514,0.06307307195759436,True
martial arts,Tonga,-0.026984610775870745,0.09019392379009368,False
baseball,Nigeria,-0.5975225877432293,0.03257857433895807,False
baseball,Ethiopia,-0.6691318526374994,-0.12663798704238582,True
baseball,Egypt,-1.4403967553954822,-0.07521197676231638,True
baseball,Congo,-1.4777069920201098,-0.13477760103083183,True
baseball,Tanzania,-0.8951657323690579,-0.0922875791150093,True
