,occupation,age,direct_correlation,indirect_correlation,same_correlation
0,accountant,1,-1.1213901004976106,-0.2342415513819053,True
1,accountant,2,-2.084244245468606,-0.1912259062431832,True
2,accountant,3,-2.29886540547077,-0.1880590267029778,True
3,accountant,4,-2.439008460511879,-0.14115548815389478,True
4,accountant,5,-2.633603781691328,-0.08158179020883867,True
5,accountant,6,-2.753823728257407,-0.011600214212780546,True
6,accountant,7,-2.9999764276953065,-0.009811111240120204,True
7,accountant,8,-3.222057520227131,-0.0021677060597540877,True
8,accountant,9,-3.1675661891868776,0.04067871463139769,False
9,accountant,10,-2.9199426659361203,0.03264135557029668,False
10,accountant,11,-2.8798642226305753,0.18368661028511651,False
11,accountant,12,-2.823357149769276,0.0888791521563268,False
12,accountant,13,-2.531601724320931,0.18668504476177408,False
13,accountant,14,-2.4359535955570393,0.23411568633578506,False
14,accountant,15,-2.133523592740154,0.26939274853685713,False
15,accountant,16,-1.8386783047818696,0.3269071471703844,False
16,accountant,17,-1.5305175972153786,0.3452551406247092,False
17,accountant,18,-1.071330515972276,0.37574353782545533,False
18,accountant,19,-0.7614356572456548,0.4016217784746484,False
19,accountant,20,-0.7835297984286429,0.3315562963395016,False
20,accountant,21,-0.10539476401433914,0.4143482693991338,False
21,accountant,22,-0.09558179081632656,0.4141996054585292,False
22,accountant,23,0.2395875049469904,0.42825521070494144,True
23,accountant,24,0.2947940298922812,0.3271121425662877,True
24,accountant,25,0.387578823891837,0.3622020146038343,True
25,accountant,26,0.6349016774737236,0.4251678555422225,True
26,accountant,27,0.7020198058821012,0.4099594321390364,True
27,accountant,28,0.7777229734607805,0.4135811498537332,True
28,accountant,29,0.9529745147782996,0.4124484839058546,True
29,accountant,30,0.5206627733973243,0.3017620852396836,True
30,accountant,31,1.132100899597002,0.4438512107511751,True
31,accountant,32,1.1154094061763054,0.36380632128711016,True
32,accountant,33,1.0995799319492359,0.260015412410382,True
33,accountant,34,1.2001608240203283,0.35120930167690245,True
34,accountant,35,1.1087828788956642,0.3075780868268188,True
35,accountant,36,1.048767758174339,0.3001889215541166,True
36,accountant,37,1.2100277018239964,0.2954175710189306,True
37,accountant,38,1.2049991450894848,0.3553506389666769,True
38,accountant,39,1.2729849223209015,0.27987613905242464,True
39,accountant,40,0.6639512326290837,0.08038523560256368,True
40,accountant,41,1.2560959376855745,0.34794164876811984,True
41,accountant,42,1.0085899710056774,0.2981407155034621,True
42,accountant,43,1.2560108859029022,0.2910440184409647,True
43,accountant,44,1.2866637147379976,0.26545355403011955,True
