index,religion_isomap_x,religion_isomap_y,religion_tsne_x,religion_tsne_y,religion_umap_x,religion_umap_y
accountant,-0.03094900947510395,-0.08012569191813823,-77.6601,-96.331436,4.2359870000000015,11.2422085
air traffic controller,0.05275858631637037,-0.014328703808550962,-69.08134,206.14865,-0.044596903,11.6817255
architect,-0.13778622459283574,-0.04840981409042944,-32.025467,-214.10905,5.155033599999999,12.205627999999999
artist,-0.04472492309089765,-0.03507308959678357,-111.84365,41.622944,2.3963904,11.7803545
attorney,-0.1904743787825854,-0.12227215332416072,12.866073,-220.58,5.7263546,12.652878999999999
baker,-0.019491043516848668,0.15147739153319614,232.65056,42.796337,5.2678733,7.939118400000001
banker,-0.2609761148262621,0.0808703045963105,222.37526,-88.01628000000002,6.4464445,9.015994000000001
bartender,0.1656726849764978,-0.1340152038934065,35.46596500000001,-37.79508,2.86136,9.562717999999998
barber,-0.013443172114693432,0.03494498008757664,-32.188959999999994,95.59597,2.3528755,11.420714
barman,-0.18816295517762974,-0.1975166855966474,50.007076,-264.00314,6.3859962999999995,12.61469
barmaid,0.8702475851228861,0.07266243085951117,110.75056000000001,293.81125,0.4520247000000001,7.5333905
bookkeeper,-0.07154596857105684,-0.02351126419506833,-85.85521999999997,-132.67018000000002,4.850035,10.838463
broadcaster,0.0064102735602358405,-0.0766327865200127,-65.85388,7.030257700000001,2.3546883999999997,10.355536
builder,-0.3763958903056536,-0.04369763087022209,109.08998000000001,-145.47661000000005,7.034076,9.387496
businessperson,-0.06980685479171428,-0.12319638434007102,-37.193222,-136.55638000000002,5.100544999999999,11.196091000000001
businessman,-0.010073926594689623,-0.06409989876816458,-57.440430000000006,-86.75123,3.8096616,10.729264
businesswoman,0.850184648408441,0.10177972740615623,97.49875,282.51758,0.44460163,7.570521
butcher,-0.16091787170454325,0.19132354953974545,222.00652999999997,-55.740906,5.9000134000000015,8.4258795
captain,-0.10759431269739707,-0.06608184325580113,-94.03031,-150.24628,5.2455463,10.845057
carpenter,-0.2676747661564604,0.016575375420237726,116.945,-131.79457,6.9655270000000025,9.459826
cashier,0.05250325302979796,-0.13239197726515667,-13.00537,-50.400063,3.3559642,10.236042999999999
chef,-0.0215961781692936,0.03832082440661656,-4.895336,94.038185,2.6282852,11.360468
coach,-0.27490230455825915,-0.180149047319014,68.95062,-271.01575,6.3885093,12.612542
cook,0.05566168641855699,0.10174214305693123,118.58558000000001,61.365868000000006,5.378607,5.6676574
computer programmer,0.036475956870831834,-0.02470268558107672,-83.651054,220.00314,-0.14833570000000001,11.804511999999999
dancer,0.7308145721446575,0.003693062711588658,132.00482,254.23865,0.7730629,7.528979
dental hygienist,-0.027802027461718143,-0.02879299193597442,-115.15123999999999,64.46041,2.2327192000000005,12.001908
dentist,0.0336306386938467,-0.07639050608538152,-31.806513,30.37196500000001,2.3825977000000003,10.263211
designer,-0.05500477130404824,-0.049570326567600534,-105.01076499999999,116.40325,3.161378,12.801248
developer,-0.0007525005126386639,-0.025184126452473227,-149.56761,-244.02199,1.8430046000000002,11.872933999999999
dietician,0.03744108491421054,0.0041231573559983295,-81.41230999999998,180.05444,0.12763596,11.933759
doctor,-0.2667637771693888,0.0054280314453828285,244.2313,-89.71635,6.134043,9.08189
economist,-0.1389346861558474,-0.06678833673797256,-53.43004000000001,-203.56548999999998,5.686886299999999,11.589929
editor,-0.10471722776955388,-0.12661045126828585,-192.22673,-126.43463999999999,4.8439665000000005,13.123410999999999
electrician,-0.0724670621527937,-0.08161863198038467,-191.40257,243.3994,3.870186,12.467284
engineer,0.015266750666326313,-0.06604872980347001,-58.48914,32.380309999999994,2.0435555,10.477243
farmer,-0.049490583232796204,0.13117680189531195,231.88907999999998,18.028685,5.309304,8.01768
filmmaker,0.0007764359208236188,0.04626963514046453,12.298848,101.04007,2.1806026000000003,11.390429
financier,-0.13643462448191604,-0.027340410904342118,-70.182625,-195.17848,5.725886,11.158807000000001
fireman,-0.2711246988159573,-0.1826343835245748,60.75688,-251.26047000000003,6.3432645999999995,12.646355
fisherman,0.12709044020953747,0.12715920161134994,139.27614,54.45568000000001,5.220950599999999,5.5828967
flight attendant,0.43734019373196936,-0.01154028901968251,121.84523,188.91388,1.3971153,7.376067
gardener,0.0992202414709574,0.20671632002541315,151.90971000000005,68.605804,5.167024,5.7975769999999995
guidance counselor,-0.09461774354131024,-0.1698700797501929,-193.01283,-163.91333,4.8330727,12.986215
hairdresser,-0.010923987782600227,-0.005592831750955714,-122.56863999999999,82.42055500000002,1.7719770000000001,11.940903
homemaker,0.691318129340581,0.11050782947021943,112.03218000000001,268.47025,0.6446847,7.4881845
housekeeper,0.5700995800930699,0.08211401114289765,122.741325,225.9698,1.0639061,7.4953055
interior designer,-0.09094241270216567,-0.07989333633656914,-273.93692000000004,403.329,3.4277544,12.920231
