index,sexual_orientation_isomap_x,sexual_orientation_isomap_y,sexual_orientation_tsne_x,sexual_orientation_tsne_y,sexual_orientation_umap_x,sexual_orientation_umap_y
accountant,-0.1033907486158583,0.07662125002098986,23.778698000000002,-34.62195,10.937664,4.5816455000000005
air traffic controller,-0.013141257758956948,-0.17287617472172187,85.78886,-85.868256,9.804888,5.31637
architect,-0.2361300732006248,0.07962816885296073,18.741589,36.837315000000004,10.836096000000001,1.6116598999999998
artist,-0.19656068237249244,-0.027370373970344728,60.098778,-5.0129886,9.912965,2.3720112
attorney,-0.3072012030765061,0.06428117136594995,21.24383,51.02864,10.862561,1.3948091999999999
baker,0.3351529662575249,0.2615105287052402,-143.23073,18.618343,-1.2252473,10.619750999999999
banker,-0.0005275004151804963,0.2936795637739969,-14.134835,-94.404816,12.148602,4.7900057
bartender,0.039668776287319366,-0.08289442200814141,12.1292515,-99.78475,11.56889,6.0071764000000005
barber,-0.08583198373975555,-0.04107361399061352,34.270996000000004,-46.758183,10.604266,4.789109
barman,-0.6400322606522302,-0.061663598448472676,45.629303,196.2995,-6.4233866,2.9413116
barmaid,1.2347895710403411,-0.1831268942782352,-144.32113999999999,-78.21449,-0.8722021999999999,8.25186
bookkeeper,-0.04195599442998869,-0.00370201142759063,25.407742000000002,-112.04765,11.266015,5.886521
broadcaster,-0.2099163980417456,-0.1260395816557049,71.85419499999998,20.469463,9.307084,1.9394418999999998
builder,-0.6078841706539159,0.010756409288491151,51.933197,190.16876000000002,-6.2387447,3.1259572999999996
businessperson,-0.29667956763529585,0.1424062749937121,-14.225760999999999,25.490894,11.705228,2.0809534
businessman,-0.09090907581120182,0.13928730742376308,-48.329556,-69.73239000000001,11.917772,3.6894157
businesswoman,1.283618236122656,-0.17744729384585425,-787.8832,-1310.7374,-0.84375405,8.288101
butcher,0.11857793371334853,0.3139426672821839,-115.62705,48.872704,-0.64339274,11.09346
captain,-0.014567238620554854,0.08774697041112793,-1.0098032,-98.36129,12.010959,5.2172613
carpenter,-0.09844273158904766,0.1524270828017864,-56.700226,-49.934128,11.944017,3.2715054
cashier,-0.038853309654240345,0.02650312760810352,18.216827,-115.72946999999999,11.465775500000001,5.756982
chef,-0.15024316737452129,0.014896423769229897,46.09569000000001,-27.834653999999997,10.338561,2.9918785
coach,-0.6300393632682271,0.3016363815360181,56.99114599999999,204.0495,-6.4596290000000005,2.9050229
cook,0.30117932622174,0.2567581386948403,-142.91,27.661633000000002,-1.1402456,10.852853999999999
computer programmer,-0.06975571030685236,-0.1803177738004141,102.75059,-44.53562,9.24571,3.9011006
dancer,0.7856037684030496,-0.08781995989609273,-159.98796000000004,-50.57594,-0.3659433,8.656486
dental hygienist,-0.14458230329274374,-0.12108567704948214,80.29876,-23.56746,9.547178,3.0875149
dentist,-0.08335748760227843,0.007426968555630687,25.213402,-42.00344000000001,10.791275,4.873157
designer,-0.30065126761818195,-0.11165770626847507,55.22128000000001,84.05286,9.978611,0.40427187
developer,-0.2267031107668148,-0.14391593763460975,88.06424,25.448395,8.815139,1.8069718999999997
dietician,0.00013776947532005248,-0.16829032252308118,81.2838,-92.790726,9.660039999999999,5.447729
doctor,-0.13394840185834725,0.2795482881072979,-26.537777000000002,-79.001755,12.167173,3.9070222
economist,-0.13466036922834151,0.1393796593558247,-47.492565,-49.221184,11.597332000000002,3.2687168
editor,-0.3144620555420069,-0.06796050806341028,53.583023,94.86837,10.390231,0.17140628
electrician,-0.17720927704279982,-0.11874155362286293,75.97182,9.2945,9.111528999999999,2.1462345000000003
engineer,-0.04873449786381424,-0.08679443650644324,49.53329,-76.08488,10.464024,5.3315980000000005
farmer,0.2702032173588493,0.2548570721993247,-150.57338000000001,44.003265,-1.4742030000000002,10.860028999999999
filmmaker,-0.1443781733071451,-0.051915767144854484,58.263977000000004,-25.919729999999998,9.980817,2.8809044
financier,-0.1010073754480653,0.2175597330508041,-37.607715999999996,-79.17525,12.055685,3.8915839999999995
fireman,-0.6867990822303289,-0.06520602907255316,45.21644600000001,205.85577,-6.4105989999999995,2.954071
fisherman,0.3746252902257719,0.2797794935941161,-166.96674,35.002390000000005,-1.7193948000000001,10.582403999999999
flight attendant,0.6015697267281882,-0.08609046601637316,-173.8582,-35.458121999999996,-0.07317997,9.136572
gardener,0.3382624124338746,0.2887641329515756,-160.77379,42.155514000000004,-1.7162506999999998,10.674391
guidance counselor,-0.3635390231784781,-0.082002409375125,56.886509999999994,104.39094,10.045858,0.005812591999999999
hairdresser,-0.10237149962725584,-0.13837775030900445,92.80425,-36.474292999999996,9.481026,3.5247602
homemaker,1.166789280108928,-0.18323984953505587,141.4233,246.80227999999997,-0.83910966,8.295585
housekeeper,0.7660723702716874,-0.11350760885150525,-168.47705,-49.617096000000004,-0.3339377,8.601808
interior designer,-0.316528481898658,-0.06790998548423832,46.04584000000001,85.69891,10.098699,0.32299712
jeweler,0.2189047444813602,0.2460058750665536,-133.63959,47.85905,-0.9577530999999999,11.098702000000001
journalist,-0.1390823019687067,-0.2351533808433255,125.76052,74.911446,7.4164906,1.9018741999999997
judge,-0.10385606933657736,0.038898965874858984,137.64796,-12.959306,12.44064,5.1829762000000015
lawyer,-0.19886459170889445,0.09307591526597354,17.319933,29.286018,10.799151,1.9316002
librarian,-0.17524516868989312,-0.15031584369289072,83.58076,13.295219,9.021899000000001,2.179477
maestro,-0.3303094242182737,0.2663854321680477,-24.933704000000002,10.726008,11.804896000000001,2.1899273
magician,0.603777280935501,-0.11228389347638444,-186.47006000000002,-32.345253,-0.17715824,9.330224000000001
mason,-0.5898143581218821,0.2352897421509088,60.26815,191.60236,-6.295861,3.0688367000000003
mechanic,-0.05280588500693127,-0.1011958889760077,37.10622,-95.96051999999999,10.944058,5.7802157
musician,-0.05391314366413389,0.16539852776440614,-68.34433,-49.747692,12.280418,3.4006512000000004
nanny,0.009289171666748015,-0.2345211652559611,103.357285,-100.532776,9.188326,5.144353400000001
nurse,0.9071349373064098,-0.021633909860647102,-166.13461,-61.293625,-0.41671786,8.64364
nutritionist,-0.11521907669696448,-0.17506795348606696,104.65191999999999,-34.46317,9.324403,3.6283337999999996
